side,joint,action_mag,target_delta,actual_delta,elbow_displacement,tau_max,saturation
right,right_shoulder_pitch_joint,0.25,0.0625,0.049005504697561264,0.014907832257449627,0.0,0.0
right,right_shoulder_roll_joint,0.25,0.0625,-0.012487130239605904,0.029699482023715973,0.0,0.0
right,right_shoulder_yaw_joint,0.25,0.0625,0.035387445241212845,0.01934014819562435,0.0,0.0
right,right_elbow_joint,0.25,0.0625,0.04617687687277794,0.011013887822628021,0.0,0.0
right,combo_reach,0.25,0,0,0.005595210939645767,0,0
right,right_shoulder_pitch_joint,0.5,0.125,0.09460758417844772,0.019090762361884117,0.0,0.0
right,right_shoulder_roll_joint,0.5,0.125,0.05164588987827301,0.023800857365131378,0.0,0.0
right,right_shoulder_yaw_joint,0.5,0.125,0.09679485112428665,0.025608809664845467,0.0,0.0
right,right_elbow_joint,0.5,0.125,0.10625527799129486,0.0074325185269117355,0.0,0.0
right,combo_reach,0.5,0,0,0.012072807177901268,0,0
right,right_shoulder_pitch_joint,1.0,0.25,0.23936057090759277,0.024109287187457085,0.0,0.0
right,right_shoulder_roll_joint,1.0,0.25,0.0873458981513977,0.045784275978803635,0.0,0.0
right,right_shoulder_yaw_joint,1.0,0.25,0.21415828168392181,0.029113879427313805,0.0,0.0
right,right_elbow_joint,1.0,0.25,0.22132273018360138,0.003374026855453849,0.0,0.0
right,combo_reach,1.0,0,0,0.02833908423781395,0,0
right,right_shoulder_pitch_joint,1.5,0.375,0.38777855038642883,0.041270557790994644,0.0,0.0
right,right_shoulder_roll_joint,1.5,0.375,0.08730757236480713,0.06735708564519882,0.0,0.0
right,right_shoulder_yaw_joint,1.5,0.375,0.3415210247039795,0.03277340903878212,0.0,0.0
right,right_elbow_joint,1.5,0.375,0.3350898027420044,0.005995509680360556,0.0,0.0
right,combo_reach,1.5,0,0,0.03771093115210533,0,0
right,right_shoulder_pitch_joint,2.0,0.5,0.5040143728256226,0.05601292848587036,0.0,0.0
right,right_shoulder_roll_joint,2.0,0.5,0.08730997890233994,0.0831870287656784,0.0,0.0
right,right_shoulder_yaw_joint,2.0,0.5,0.4768378436565399,0.03737350180745125,0.0,0.0
right,right_elbow_joint,2.0,0.5,0.4420199692249298,0.014296004548668861,0.0,0.0
right,combo_reach,2.0,0,0,0.04781471565365791,0,0
left,left_shoulder_pitch_joint,0.25,0.0625,0.05887245014309883,0.010683629661798477,0.0,0.0
left,left_shoulder_roll_joint,0.25,0.0625,0.13978540897369385,0.012871630489826202,0.0,0.0
left,left_shoulder_yaw_joint,0.25,0.0625,0.05719324201345444,0.008678881451487541,0.0,0.0
left,left_elbow_joint,0.25,0.0625,0.0510580912232399,0.034223947674036026,0.0,0.0
left,combo_reach,0.25,0,0,0.029521003365516663,0,0
left,left_shoulder_pitch_joint,0.5,0.125,0.12147766351699829,0.013643160462379456,0.0,0.0
left,left_shoulder_roll_joint,0.5,0.125,0.21388660371303558,0.02285928465425968,0.0,0.0
left,left_shoulder_yaw_joint,0.5,0.125,0.12127015739679337,0.03461741656064987,0.0,0.0
left,left_elbow_joint,0.5,0.125,0.11574289202690125,0.031602829694747925,0.0,0.0
left,combo_reach,0.5,0,0,0.027231842279434204,0,0
left,left_shoulder_pitch_joint,1.0,0.25,0.2515857517719269,0.02358229272067547,0.0,0.0
left,left_shoulder_roll_joint,1.0,0.25,0.31059345602989197,0.027970165014266968,0.0,0.0
left,left_shoulder_yaw_joint,1.0,0.25,0.24564482271671295,0.035742830485105515,0.0,0.0
left,left_elbow_joint,1.0,0.25,0.2304811328649521,0.033847376704216,0.0,0.0
left,combo_reach,1.0,0,0,0.03847356140613556,0,0
left,left_shoulder_pitch_joint,1.5,0.375,0.39452889561653137,0.04390835016965866,0.0,0.0
left,left_shoulder_roll_joint,1.5,0.375,0.4063681364059448,0.08396358788013458,0.0,0.0
left,left_shoulder_yaw_joint,1.5,0.375,0.3752201199531555,0.044388964772224426,0.0,0.0
left,left_elbow_joint,1.5,0.375,0.34402114152908325,0.03556709364056587,0.0,0.0
left,combo_reach,1.5,0,0,0.045239850878715515,0,0
left,left_shoulder_pitch_joint,2.0,0.5,0.5116618871688843,0.049897778779268265,0.0,0.0
left,left_shoulder_roll_joint,2.0,0.5,0.5410910844802856,0.07537487894296646,0.0,0.0
left,left_shoulder_yaw_joint,2.0,0.5,0.500720202922821,0.06151329353451729,0.0,0.0
left,left_elbow_joint,2.0,0.5,0.44670557975769043,0.03368258848786354,0.0,0.0
left,combo_reach,2.0,0,0,0.0546826496720314,0,0
