side,joint,delta,type,elbow_x,elbow_y,elbow_z,displacement
left,left_shoulder_pitch_joint,-0.6,single,-9.937458992004395,-4.861677169799805,0.6092563271522522,0.05624351650476456
left,left_shoulder_pitch_joint,-0.4,single,-9.955609321594238,-4.8535332679748535,0.5891427993774414,0.029376326128840446
left,left_shoulder_pitch_joint,-0.2,single,-9.983192443847656,-4.850894451141357,0.5778263211250305,0.011942707002162933
left,left_shoulder_pitch_joint,0.0,single,-10.025697708129883,-4.854889869689941,0.5753291845321655,0.04870428517460823
left,left_shoulder_pitch_joint,0.2,single,-10.054969787597656,-4.858524322509766,0.5762936472892761,0.07786272466182709
left,left_shoulder_pitch_joint,0.4,single,-10.084063529968262,-4.861440181732178,0.5865453481674194,0.10805052518844604
left,left_shoulder_pitch_joint,0.6,single,-10.101125717163086,-4.855316638946533,0.6020265221595764,0.12788239121437073
left,left_shoulder_roll_joint,-0.6,single,-10.022019386291504,-4.8916425704956055,0.5734248757362366,0.05624418333172798
left,left_shoulder_roll_joint,-0.4,single,-10.020546913146973,-4.891253471374512,0.5733338594436646,0.0548374205827713
left,left_shoulder_roll_joint,-0.2,single,-10.020468711853027,-4.88657283782959,0.573115885257721,0.05201854929327965
left,left_shoulder_roll_joint,0.0,single,-10.029419898986816,-4.8563151359558105,0.5746611952781677,0.05227852985262871
left,left_shoulder_roll_joint,0.2,single,-10.040977478027344,-4.830621242523193,0.5817584991455078,0.07010851800441742
left,left_shoulder_roll_joint,0.4,single,-10.054489135742188,-4.81072998046875,0.5919187664985657,0.09290429204702377
left,left_shoulder_roll_joint,0.6,single,-10.051313400268555,-4.783299446105957,0.609110414981842,0.11194009333848953
left,left_shoulder_yaw_joint,-0.6,single,-10.027037620544434,-4.862744331359863,0.574594259262085,0.050147365778684616
left,left_shoulder_yaw_joint,-0.4,single,-10.029595375061035,-4.861800670623779,0.5746552348136902,0.05260339006781578
left,left_shoulder_yaw_joint,-0.2,single,-10.030096054077148,-4.859395980834961,0.5748023986816406,0.05297868326306343
left,left_shoulder_yaw_joint,0.0,single,-10.02947998046875,-4.8564934730529785,0.5750424265861511,0.05237066373229027
left,left_shoulder_yaw_joint,0.2,single,-10.028757095336914,-4.853662014007568,0.5760772228240967,0.05190447345376015
left,left_shoulder_yaw_joint,0.4,single,-10.028789520263672,-4.849847316741943,0.5761950612068176,0.05237935483455658
left,left_shoulder_yaw_joint,0.6,single,-10.029312133789062,-4.846663951873779,0.5772320032119751,0.05358574911952019
left,left_elbow_joint,-0.6,single,-10.031338691711426,-4.8586578369140625,0.5739055275917053,0.05412142723798752
left,left_elbow_joint,-0.4,single,-10.02993106842041,-4.857669353485107,0.574361264705658,0.05274490267038345
left,left_elbow_joint,-0.2,single,-10.02939510345459,-4.857091903686523,0.5749818086624146,0.05227082595229149
left,left_elbow_joint,0.0,single,-10.029085159301758,-4.8564372062683105,0.5751594305038452,0.051990967243909836
left,left_elbow_joint,0.2,single,-10.029389381408691,-4.856712818145752,0.5759270191192627,0.052371613681316376
left,left_elbow_joint,0.4,single,-10.031048774719238,-4.857434272766113,0.5759458541870117,0.05401478707790375
left,left_elbow_joint,0.6,single,-10.033970832824707,-4.858489513397217,0.5762972235679626,0.05696425214409828
left,combo,0,combo,-10.09857177734375,-4.800603866577148,0.6105077862739563,0.1399681121110916
left,combo,0,combo,-10.078958511352539,-4.834701061248779,0.5890985727310181,0.10589577257633209
left,combo,0,combo,-9.98386287689209,-4.834391117095947,0.5840197205543518,0.027968643233180046
left,combo,0,combo,-10.092178344726562,-4.811582565307617,0.6039320826530457,0.12829455733299255
left,combo,0,combo,-10.048171043395996,-4.771401405334473,0.6191307306289673,0.12195517867803574
left,combo,0,combo,-10.041923522949219,-4.808565616607666,0.5942631363868713,0.08466329425573349
left,combo,0,combo,-10.01276683807373,-4.763824462890625,0.627538800239563,0.11566007137298584
left,combo,0,combo,-10.058577537536621,-4.838549613952637,0.5828716158866882,0.08441685140132904
left,combo,0,combo,-10.12449836730957,-4.812156677246094,0.6226313710212708,0.16277764737606049
left,combo,0,combo,-9.979070663452148,-4.755341529846191,0.6241759061813354,0.11582028120756149
left,combo,0,combo,-9.968542098999023,-4.782258987426758,0.6228327751159668,0.0925426185131073
left,combo,0,combo,-10.037875175476074,-4.788268566131592,0.610101044178009,0.10044402629137039
left,combo,0,combo,-10.085426330566406,-4.768838882446289,0.6449028849601746,0.15870939195156097
left,combo,0,combo,-9.94291877746582,-4.812778472900391,0.6182029843330383,0.0744057148694992
left,combo,0,combo,-10.060075759887695,-4.853629112243652,0.5794005990028381,0.08334141969680786
left,combo,0,combo,-10.104328155517578,-4.811053276062012,0.6088990569114685,0.14074429869651794
left,combo,0,combo,-10.07815170288086,-4.813415050506592,0.5992267727851868,0.11389375478029251
left,combo,0,combo,-10.038945198059082,-4.84413480758667,0.5776557922363281,0.06350582838058472
left,combo,0,combo,-9.999472618103027,-4.7994184494018555,0.6033677458763123,0.07070054858922958
left,combo,0,combo,-10.134739875793457,-4.827414512634277,0.6353896856307983,0.1731189787387848
left,combo,0,combo,-10.079609870910645,-4.800365924835205,0.6192346215248108,0.12715189158916473
left,combo,0,combo,-10.001258850097656,-4.755821228027344,0.6383126974105835,0.12497896701097488
left,combo,0,combo,-10.132997512817383,-4.859633445739746,0.6236544847488403,0.1646702140569687
left,combo,0,combo,-10.001849174499512,-4.819619655609131,0.5818337798118591,0.046755336225032806
left,combo,0,combo,-10.106891632080078,-4.810305595397949,0.6197486519813538,0.14663459360599518
left,combo,0,combo,-10.04216194152832,-4.805325508117676,0.5923271775245667,0.08623374998569489
left,combo,0,combo,-9.995222091674805,-4.77213716506958,0.6292951107025146,0.10563568025827408
left,combo,0,combo,-10.124979972839355,-4.822540760040283,0.6251012086868286,0.16145926713943481
left,combo,0,combo,-9.941657066345215,-4.801589488983154,0.6164252758026123,0.08114509284496307
