side,joint,delta,type,elbow_x,elbow_y,elbow_z,displacement
right,right_shoulder_pitch_joint,-0.6,single,-9.934995651245117,-5.138243198394775,0.6119813323020935,0.5451744198799133
right,right_shoulder_pitch_joint,-0.4,single,-9.956830024719238,-5.137877941131592,0.6022585034370422,0.5447996854782104
right,right_shoulder_pitch_joint,-0.2,single,-9.98921012878418,-5.135073184967041,0.593956470489502,0.5519877672195435
right,right_shoulder_pitch_joint,0.0,single,-9.993245124816895,-5.135493278503418,0.5805447101593018,0.5432015061378479
right,right_shoulder_pitch_joint,0.2,single,-10.035860061645508,-5.128751754760742,0.5777830481529236,0.5637391209602356
right,right_shoulder_pitch_joint,0.4,single,-10.077044486999512,-5.123445510864258,0.5898392200469971,0.5956698060035706
right,right_shoulder_pitch_joint,0.6,single,-10.10821533203125,-5.1214823722839355,0.6087744235992432,0.6266509890556335
right,right_shoulder_roll_joint,-0.6,single,-9.994452476501465,-5.211843967437744,0.6012133955955505,0.5268506407737732
right,right_shoulder_roll_joint,-0.4,single,-9.995287895202637,-5.184833526611328,0.5857987403869629,0.5254409909248352
right,right_shoulder_roll_joint,-0.2,single,-10.00747299194336,-5.160088539123535,0.5789451003074646,0.5364278554916382
right,right_shoulder_roll_joint,0.0,single,-10.011579513549805,-5.132298946380615,0.5751244425773621,0.54872065782547
right,right_shoulder_roll_joint,0.2,single,-10.011706352233887,-5.106162071228027,0.5757933259010315,0.5627596378326416
right,right_shoulder_roll_joint,0.4,single,-10.01373291015625,-5.105656623840332,0.5758761167526245,0.5639814734458923
right,right_shoulder_roll_joint,0.6,single,-10.012136459350586,-5.106787204742432,0.5744366645812988,0.5616351962089539
right,right_shoulder_yaw_joint,-0.6,single,-10.009047508239746,-5.143206596374512,0.57398521900177,0.5413600206375122
right,right_shoulder_yaw_joint,-0.4,single,-10.006990432739258,-5.138495922088623,0.5724474191665649,0.5415945053100586
right,right_shoulder_yaw_joint,-0.2,single,-10.008451461791992,-5.135035514831543,0.5731208920478821,0.5444661974906921
right,right_shoulder_yaw_joint,0.0,single,-10.010533332824707,-5.132882595062256,0.5749199390411377,0.5478076338768005
right,right_shoulder_yaw_joint,0.2,single,-10.014809608459473,-5.13108491897583,0.5762627124786377,0.5516277551651001
right,right_shoulder_yaw_joint,0.4,single,-10.017467498779297,-5.129749774932861,0.5758718848228455,0.5532163977622986
right,right_shoulder_yaw_joint,0.6,single,-10.018987655639648,-5.127730369567871,0.5739220976829529,0.5534946322441101
right,right_elbow_joint,-0.6,single,-10.012099266052246,-5.13394021987915,0.5722294449806213,0.5459954142570496
right,right_elbow_joint,-0.4,single,-10.012539863586426,-5.133081436157227,0.5734442472457886,0.5475209355354309
right,right_elbow_joint,-0.2,single,-10.013033866882324,-5.133298397064209,0.5751199126243591,0.5488760471343994
right,right_elbow_joint,0.0,single,-10.011737823486328,-5.134249210357666,0.5761987566947937,0.548618733882904
right,right_elbow_joint,0.2,single,-10.009359359741211,-5.134890079498291,0.5759883522987366,0.5470767021179199
right,right_elbow_joint,0.4,single,-10.004655838012695,-5.1345601081848145,0.5743687152862549,0.5439440011978149
right,right_elbow_joint,0.6,single,-10.00508975982666,-5.134480953216553,0.5734843611717224,0.5435163378715515
right,combo,0,combo,-9.988712310791016,-5.223760604858398,0.6147841215133667,0.5314106345176697
right,combo,0,combo,-9.978631973266602,-5.175989151000977,0.5925162434577942,0.5275605916976929
right,combo,0,combo,-9.952259063720703,-5.238473415374756,0.6425361037254333,0.5364313125610352
right,combo,0,combo,-9.937031745910645,-5.197312355041504,0.618057131767273,0.524573028087616
right,combo,0,combo,-10.043834686279297,-5.209188938140869,0.6193740963935852,0.5654986500740051
right,combo,0,combo,-9.92126178741455,-5.171184062957764,0.6168411374092102,0.5296129584312439
right,combo,0,combo,-9.970110893249512,-5.177804946899414,0.5900630354881287,0.5213820934295654
right,combo,0,combo,-10.090253829956055,-5.200366973876953,0.633150041103363,0.603346049785614
right,combo,0,combo,-9.934290885925293,-5.1925950050354,0.6233340501785278,0.5300948619842529
right,combo,0,combo,-10.04292106628418,-5.223664283752441,0.6264675259590149,0.5658883452415466
right,combo,0,combo,-10.031820297241211,-5.180578231811523,0.5913249850273132,0.5484716296195984
right,combo,0,combo,-10.033122062683105,-5.2065653800964355,0.6048866510391235,0.5496499538421631
right,combo,0,combo,-10.075671195983887,-5.173069000244141,0.6020956039428711,0.5821029543876648
right,combo,0,combo,-10.040936470031738,-5.229663848876953,0.6186870336532593,0.5566993355751038
right,combo,0,combo,-10.009052276611328,-5.215914249420166,0.6055291295051575,0.535427987575531
right,combo,0,combo,-10.083410263061523,-5.153679370880127,0.601894199848175,0.5941031575202942
right,combo,0,combo,-10.027493476867676,-5.213706970214844,0.6107547283172607,0.549068808555603
right,combo,0,combo,-9.990571975708008,-5.14475154876709,0.5766440033912659,0.5345370769500732
right,combo,0,combo,-9.936050415039062,-5.159397125244141,0.5999714136123657,0.5255365967750549
right,combo,0,combo,-10.031440734863281,-5.208336353302002,0.6102385520935059,0.5524559020996094
right,combo,0,combo,-9.933250427246094,-5.197455883026123,0.6244060397148132,0.5287455320358276
right,combo,0,combo,-10.11156940460205,-5.182011127471924,0.6458412408828735,0.6310335397720337
right,combo,0,combo,-9.91269588470459,-5.158002853393555,0.6216573715209961,0.5372012853622437
right,combo,0,combo,-9.993287086486816,-5.228395938873291,0.6322523951530457,0.5465216636657715
right,combo,0,combo,-9.924336433410645,-5.174214839935303,0.6120872497558594,0.5251767635345459
right,combo,0,combo,-10.063946723937988,-5.219789981842041,0.6254558563232422,0.5769581198692322
right,combo,0,combo,-9.925712585449219,-5.209785461425781,0.6299444437026978,0.5264686346054077
right,combo,0,combo,-10.024867057800293,-5.166316509246826,0.5842052698135376,0.5457326173782349
right,combo,0,combo,-10.044382095336914,-5.1400299072265625,0.5789301991462708,0.5633014440536499
right,combo,0,combo,-10.067394256591797,-5.207738876342773,0.6223918795585632,0.5803484320640564
right,combo,0,combo,-10.099020957946777,-5.1568708419799805,0.6072368025779724,0.6051543951034546
right,combo,0,combo,-9.958664894104004,-5.236972332000732,0.6344066858291626,0.5320465564727783
right,combo,0,combo,-9.96030330657959,-5.178340435028076,0.5964808464050293,0.5225971937179565
right,combo,0,combo,-9.93061351776123,-5.157857894897461,0.6095626950263977,0.5324269533157349
right,combo,0,combo,-9.962641716003418,-5.182429790496826,0.599757194519043,0.5244001746177673
right,combo,0,combo,-10.121710777282715,-5.150756359100342,0.6352722644805908,0.640592634677887
right,combo,0,combo,-10.044058799743652,-5.163244724273682,0.5855379104614258,0.5574722290039062
right,combo,0,combo,-9.926872253417969,-5.194187164306641,0.6143900156021118,0.5194317102432251
right,combo,0,combo,-9.971827507019043,-5.146397590637207,0.5819098353385925,0.5301639437675476
right,combo,0,combo,-10.031261444091797,-5.163078308105469,0.5842525362968445,0.5502697229385376
right,combo,0,combo,-9.950045585632324,-5.211714267730713,0.6286759376525879,0.5326175689697266
right,combo,0,combo,-10.033559799194336,-5.232336044311523,0.6354104280471802,0.5659347176551819
right,combo,0,combo,-9.938921928405762,-5.18571662902832,0.606999397277832,0.5205732583999634
right,combo,0,combo,-10.013069152832031,-5.232245922088623,0.628065288066864,0.5503717660903931
right,combo,0,combo,-10.109823226928711,-5.1469244956970215,0.6156526207923889,0.6213388442993164
right,combo,0,combo,-10.051987648010254,-5.135164737701416,0.5808652639389038,0.5708121657371521
right,combo,0,combo,-10.093515396118164,-5.176907539367676,0.6203033328056335,0.6038216352462769
right,combo,0,combo,-10.050541877746582,-5.186775207519531,0.602967381477356,0.5642650723457336
right,combo,0,combo,-9.992936134338379,-5.154201507568359,0.5772151350975037,0.5314316153526306
right,combo,0,combo,-9.948613166809082,-5.207035541534424,0.6148137450218201,0.521953821182251
right,combo,0,combo,-10.06053352355957,-5.229005336761475,0.641080379486084,0.584818959236145
right,combo,0,combo,-9.932583808898926,-5.17577600479126,0.6116622090339661,0.5267026424407959
right,combo,0,combo,-10.055792808532715,-5.1442694664001465,0.5861923694610596,0.5723597407341003
right,combo,0,combo,-10.002543449401855,-5.183885097503662,0.5848736763000488,0.5283359885215759
right,combo,0,combo,-10.012187957763672,-5.1908745765686035,0.5892917513847351,0.5333481431007385
right,combo,0,combo,-9.988027572631836,-5.16718864440918,0.5817114114761353,0.5268012881278992
right,combo,0,combo,-10.060784339904785,-5.214249610900879,0.6255515217781067,0.5772175192832947
right,combo,0,combo,-9.925070762634277,-5.203875541687012,0.6311612129211426,0.5295678973197937
right,combo,0,combo,-9.917969703674316,-5.165985584259033,0.6233636736869812,0.5364941358566284
right,combo,0,combo,-10.053858757019043,-5.15045690536499,0.5848599672317505,0.5675915479660034
right,combo,0,combo,-9.957185745239258,-5.18379545211792,0.5917699933052063,0.5152032971382141
right,combo,0,combo,-10.078744888305664,-5.162036895751953,0.5986629128456116,0.585719108581543
right,combo,0,combo,-10.030268669128418,-5.195919036865234,0.5930063724517822,0.5428930521011353
right,combo,0,combo,-9.97914981842041,-5.2050676345825195,0.5936070680618286,0.5166516304016113
right,combo,0,combo,-10.111536026000977,-5.170723915100098,0.6330249309539795,0.6255425214767456
right,combo,0,combo,-9.972830772399902,-5.160963535308838,0.5853908658027649,0.5263312458992004
right,combo,0,combo,-10.016166687011719,-5.219513893127441,0.6123903393745422,0.5430432558059692
right,combo,0,combo,-10.006378173828125,-5.161723613739014,0.5796605348587036,0.5357327461242676
right,combo,0,combo,-10.011332511901855,-5.163172721862793,0.5785422325134277,0.5364757180213928
right,combo,0,combo,-9.986542701721191,-5.230372905731201,0.6203579306602478,0.5329765677452087
right,combo,0,combo,-10.09874439239502,-5.208446502685547,0.6705654263496399,0.6344419717788696
right,combo,0,combo,-10.043832778930664,-5.1904988288879395,0.600098729133606,0.5572256445884705
right,combo,0,combo,-9.972081184387207,-5.214987277984619,0.6065423488616943,0.520780086517334
right,combo,0,combo,-10.109434127807617,-5.145349502563477,0.614154040813446,0.6207056045532227
right,combo,0,combo,-9.955828666687012,-5.194297790527344,0.6041663885116577,0.520570695400238
right,combo,0,combo,-9.956130027770996,-5.163144111633301,0.589701235294342,0.5223912596702576
right,combo,0,combo,-9.96268081665039,-5.225561618804932,0.6211667656898499,0.5258188843727112
right,combo,0,combo,-9.938462257385254,-5.183838367462158,0.6073150038719177,0.5214831233024597
right,combo,0,combo,-9.95070743560791,-5.18525505065918,0.6083653569221497,0.5259731411933899
right,combo,0,combo,-10.055830001831055,-5.232475757598877,0.6467785835266113,0.5860448479652405
right,combo,0,combo,-10.107009887695312,-5.178151607513428,0.6388598680496216,0.6246539950370789
right,combo,0,combo,-10.081624984741211,-5.163516521453857,0.6029615998268127,0.5898125767707825
right,combo,0,combo,-10.067366600036621,-5.170383930206299,0.5938780307769775,0.5726698637008667
right,combo,0,combo,-10.072433471679688,-5.1686577796936035,0.5989322662353516,0.5798138976097107
right,combo,0,combo,-10.039473533630371,-5.199644088745117,0.6060290336608887,0.5562148094177246
right,combo,0,combo,-10.084683418273926,-5.138545989990234,0.5948253870010376,0.5962960720062256
right,combo,0,combo,-10.107627868652344,-5.1739912033081055,0.6345580816268921,0.62330162525177
right,combo,0,combo,-10.114295959472656,-5.175894737243652,0.6328035593032837,0.6249904036521912
right,combo,0,combo,-9.973411560058594,-5.233786582946777,0.6135642528533936,0.5207008123397827
right,combo,0,combo,-9.929571151733398,-5.203778266906738,0.6244301199913025,0.5251355767250061
right,combo,0,combo,-10.041343688964844,-5.215930938720703,0.6215603351593018,0.5637094974517822
right,combo,0,combo,-10.091410636901855,-5.207790851593018,0.6529164910316467,0.6168702840805054
right,combo,0,combo,-10.04837703704834,-5.201910495758057,0.609546959400177,0.562589704990387
right,combo,0,combo,-9.96015453338623,-5.175654888153076,0.5960807800292969,0.52339106798172
right,combo,0,combo,-10.032898902893066,-5.156721591949463,0.5834935903549194,0.5533292889595032
right,combo,0,combo,-10.02845287322998,-5.182660102844238,0.5948888063430786,0.54874587059021
right,combo,0,combo,-9.919415473937988,-5.182172775268555,0.6192430257797241,0.5263363122940063
right,combo,0,combo,-9.991358757019043,-5.224175930023193,0.6204515695571899,0.5371466875076294
right,combo,0,combo,-9.9313383102417,-5.17955207824707,0.6076106429100037,0.5212495923042297
right,combo,0,combo,-10.0914306640625,-5.1860504150390625,0.6213420033454895,0.6000536680221558
right,combo,0,combo,-10.080903053283691,-5.179713726043701,0.608027458190918,0.5867274403572083
right,combo,0,combo,-9.941520690917969,-5.2332868576049805,0.6443493366241455,0.5360319018363953
