frame,ball_x,ball_y,ball_z,re_x,re_y,re_z,le_x,le_y,le_z,re_to_ball,le_to_ball,ee_raw
0,-8.766133308410645,-5.333940029144287,0.3472476303577423,-9.998699188232422,-5.122501373291016,0.572467565536499,-9.998697280883789,-4.877419948577881,0.5722141265869141,1.2706884145736694,1.333504557609558,1.0072706937789917
1,-8.766644477844238,-5.333850383758545,0.3408854007720947,-9.99963665008545,-5.122536659240723,0.5724644660949707,-9.999622344970703,-4.8774213790893555,0.5720098614692688,1.2722232341766357,1.334908366203308,1.0065407752990723
2,-8.767189979553223,-5.3336100578308105,0.3302164375782013,-10.00046157836914,-5.122620105743408,0.5725222229957581,-10.0004301071167,-4.877455234527588,0.5718494653701782,1.2744362354278564,1.336916208267212,1.0058717727661133
3,-8.767655372619629,-5.3328986167907715,0.31611335277557373,-10.001072883605957,-5.122735023498535,0.5725979804992676,-10.001036643981934,-4.87751579284668,0.5717086791992188,1.2772125005722046,1.3393774032592773,1.0054221153259277
4,-8.767945289611816,-5.332530498504639,0.29855605959892273,-10.00144100189209,-5.122857093811035,0.5726770162582397,-10.001411437988281,-4.877594947814941,0.5715958476066589,1.2808656692504883,1.3427419662475586,1.005213975906372
5,-8.768586158752441,-5.331803798675537,0.27662166953086853,-10.000974655151367,-5.1232733726501465,0.5726916193962097,-10.00145435333252,-4.877641677856445,0.5716254711151123,1.2844935655593872,1.3465713262557983,1.0051167011260986
6,-8.769688606262207,-5.331300258636475,0.2506512403488159,-9.998347282409668,-5.1232709884643555,0.5728541612625122,-10.001272201538086,-4.877713203430176,0.5716878771781921,1.2871259450912476,1.351149082183838,1.0052485466003418
7,-8.770623207092285,-5.3304667472839355,0.2209615707397461,-9.99480152130127,-5.123165130615234,0.5731950402259827,-10.001152992248535,-4.877917289733887,0.5717392563819885,1.2906025648117065,1.357221245765686,1.0053770542144775
8,-8.771695137023926,-5.330106258392334,0.18765965104103088,-9.991130828857422,-5.123075485229492,0.573671281337738,-10.001254081726074,-4.878183841705322,0.5717604160308838,1.295719861984253,1.36513090133667,1.0053097009658813
9,-8.765446662902832,-5.320308208465576,0.15905696153640747,-9.987768173217773,-5.12300443649292,0.57420414686203,-10.001615524291992,-4.878430366516113,0.5717504024505615,1.3058888912200928,1.3761123418807983,1.0049628019332886
