frame,ball_x,ball_y,ball_z,re_x,re_y,re_z,le_x,le_y,le_z,re_to_ball,le_to_ball,ee_raw
0,-6.806282997131348,-5.333604335784912,0.3476969301700592,-9.998699188232422,-5.122501373291016,0.572467565536499,-9.998697280883789,-4.877419948577881,0.5722141265869141,3.2072739601135254,3.232649326324463,0.6605965495109558
1,-6.846266746520996,-5.333364009857178,0.3419314920902252,-9.99963665008545,-5.122536659240723,0.5724644660949707,-9.999622344970703,-4.8774213790893555,0.5720098614692688,3.168806552886963,3.194443702697754,0.6604278683662415
2,-6.885800361633301,-5.3335795402526855,0.3326328694820404,-10.00046157836914,-5.122620105743408,0.5725222229957581,-10.0004301071167,-4.877455234527588,0.5718494653701782,3.1310007572174072,3.1569275856018066,0.6602271795272827
3,-6.925765037536621,-5.333619594573975,0.31906288862228394,-10.001072883605957,-5.122735023498535,0.5725979804992676,-10.001036643981934,-4.87751579284668,0.5717086791992188,3.0929391384124756,3.119159698486328,0.6601037383079529
4,-6.965563774108887,-5.333285808563232,0.3017062544822693,-10.00144100189209,-5.122857093811035,0.5726770162582397,-10.001411437988281,-4.877594947814941,0.5715958476066589,3.055201530456543,3.081698417663574,0.6600651144981384
5,-7.011225700378418,-5.338977336883545,0.2779514789581299,-10.001626968383789,-5.122974395751953,0.5727465152740479,-10.001604080200195,-4.877690315246582,0.5715150237083435,3.01265025138855,3.0399553775787354,0.6600731015205383
6,-7.0571489334106445,-5.344939708709717,0.2500109374523163,-10.001703262329102,-5.123081207275391,0.572797417640686,-10.00168514251709,-4.87779426574707,0.5714651942253113,2.9704902172088623,2.9986414909362793,0.6600863337516785
7,-7.10300350189209,-5.350549221038818,0.2184685468673706,-10.00173282623291,-5.123172760009766,0.5728234052658081,-10.001717567443848,-4.877896785736084,0.5714470148086548,2.9291465282440186,2.9581305980682373,0.6600660085678101
8,-7.148978233337402,-5.3560919761657715,0.18339192867279053,-10.001774787902832,-5.123250961303711,0.5728272795677185,-10.001754760742188,-4.877991199493408,0.5714524388313293,2.8886539936065674,2.9184765815734863,0.6599957346916199
9,-7.195290565490723,-5.362094402313232,0.14454738795757294,-10.001861572265625,-5.12332010269165,0.5728103518486023,-10.001832008361816,-4.87807559967041,0.5714758038520813,2.849081039428711,2.8797945976257324,0.6598650813102722
