frame,ball_x,ball_y,ball_z,le_x,le_y,le_z,re_x,re_y,re_z,le_to_ball,re_to_ball,ee_raw,ee_scaled
0,-6.775835990905762,-5.333543300628662,0.2997547686100006,-9.9986572265625,-4.877414226531982,0.5734317898750305,-9.99866008758545,-5.12248420715332,0.5736760497093201,3.2664244174957275,3.2413229942321777,0.0,0.0
1,-6.785836219787598,-5.333543300628662,0.2992642819881439,-9.998656272888184,-4.877414703369141,0.5729413628578186,-9.998661041259766,-5.12248420715332,0.5731855034828186,3.2565572261810303,3.2313809394836426,0.0,0.0
2,-6.795836448669434,-5.333543300628662,0.2985285222530365,-9.998658180236816,-4.877414226531982,0.5722070932388306,-9.998662948608398,-5.12248420715332,0.5724510550498962,3.2466938495635986,3.221440315246582,0.0,0.0
3,-6.8058366775512695,-5.333543300628662,0.29754751920700073,-9.998697280883789,-4.877419948577881,0.5722141265869141,-9.998699188232422,-5.122501373291016,0.5724674463272095,3.236950635910034,3.211617946624756,0.0,0.0
4,-6.8158369064331055,-5.333543300628662,0.2963212728500366,-9.998979568481445,-4.877411365509033,0.5721946358680725,-9.99897575378418,-5.122505187988281,0.5724721550941467,3.2274696826934814,3.202057123184204,0.0,0.0
5,-6.825837135314941,-5.333543300628662,0.29484978318214417,-9.999184608459473,-4.877411842346191,0.5720640420913696,-9.999191284179688,-5.1225104331970215,0.5724282264709473,3.2179243564605713,3.1924538612365723,0.0,0.0
6,-6.835837364196777,-5.333543300628662,0.293133020401001,-9.999405860900879,-4.877414703369141,0.5720509886741638,-9.99941349029541,-5.122520923614502,0.572455883026123,3.2084286212921143,3.1828863620758057,0.0,0.0
7,-6.845837593078613,-5.333543300628662,0.29117101430892944,-9.99962043762207,-4.877419948577881,0.5720094442367554,-9.999635696411133,-5.122534275054932,0.5724650621414185,3.1989474296569824,3.1733412742614746,0.0,0.0
8,-6.855837821960449,-5.333543300628662,0.28896376490592957,-9.999835968017578,-4.877426624298096,0.5719677209854126,-9.999855041503906,-5.122552394866943,0.5724772214889526,3.1894917488098145,3.1638174057006836,0.0,0.0
9,-6.865838050842285,-5.333543300628662,0.28651127219200134,-10.000042915344238,-4.877432823181152,0.5719271898269653,-10.000068664550781,-5.12257194519043,0.5724915266036987,3.180053234100342,3.154313564300537,0.0,0.0
10,-6.875838279724121,-5.333543300628662,0.2838135361671448,-10.00024127960205,-4.877442359924316,0.5718870759010315,-10.000271797180176,-5.122593402862549,0.5725066661834717,3.1706323623657227,3.1448254585266113,0.0,0.0
11,-6.885838508605957,-5.333543300628662,0.2808705270290375,-10.000428199768066,-4.877452850341797,0.5718480348587036,-10.00046157836914,-5.122617721557617,0.5725234746932983,3.161226987838745,3.1353514194488525,0.0,0.0
12,-6.895838737487793,-5.333543300628662,0.27768227458000183,-10.000602722167969,-4.877464771270752,0.5718104243278503,-10.000638961791992,-5.12264347076416,0.5725411176681519,3.1518373489379883,3.1258926391601562,0.0,0.0
13,-6.905838966369629,-5.333543300628662,0.27424877882003784,-10.00075912475586,-4.877479076385498,0.571774423122406,-10.000794410705566,-5.122672080993652,0.5725598335266113,3.14245867729187,3.116441249847412,0.0,0.0
14,-6.915839195251465,-5.333543300628662,0.2705700397491455,-10.000901222229004,-4.877494812011719,0.5717402100563049,-10.000937461853027,-5.122701168060303,0.5725789070129395,3.1330959796905518,3.1070072650909424,0.0,0.0
15,-6.925839424133301,-5.333543300628662,0.26664602756500244,-10.001031875610352,-4.877511024475098,0.5717082619667053,-10.001065254211426,-5.122730731964111,0.5725980401039124,3.123753786087036,3.0975899696350098,0.0,0.0
16,-6.935839653015137,-5.333543300628662,0.26247677206993103,-10.001147270202637,-4.877527236938477,0.5716782808303833,-10.001180648803711,-5.1227593421936035,0.5726172924041748,3.114428758621216,3.0881924629211426,0.0,0.0
17,-6.945839881896973,-5.333543300628662,0.2580622732639313,-10.00124740600586,-4.877547264099121,0.5716497302055359,-10.001279830932617,-5.1227898597717285,0.5726363658905029,3.1051223278045654,3.078812837600708,0.0,0.0
18,-6.955840110778809,-5.333543300628662,0.2534025311470032,-10.001330375671387,-4.877567768096924,0.5716233253479004,-10.001362800598145,-5.1228203773498535,0.572655200958252,3.095834255218506,3.0694518089294434,0.0,0.0
19,-6.9658403396606445,-5.333543300628662,0.24849753081798553,-10.001407623291016,-4.877588272094727,0.5715989470481873,-10.001436233520508,-5.122849941253662,0.5726739764213562,3.0865771770477295,3.0601184368133545,0.0,0.0
20,-6.9758405685424805,-5.333543300628662,0.24334728717803955,-10.001470565795898,-4.877610206604004,0.571576714515686,-10.001497268676758,-5.122879505157471,0.5726919770240784,3.0773441791534424,3.0508105754852295,0.0,0.0
21,-6.985840797424316,-5.333543300628662,0.23795178532600403,-10.001521110534668,-4.8776326179504395,0.5715562701225281,-10.001545906066895,-5.122907638549805,0.5727092623710632,3.068138599395752,3.0415306091308594,0.0,0.0
22,-6.995841026306152,-5.333543300628662,0.23231104016304016,-10.00156307220459,-4.877655029296875,0.5715366005897522,-10.001585006713867,-5.122934341430664,0.5727257132530212,3.0589659214019775,3.0322821140289307,0.0,0.0
23,-7.005841255187988,-5.333543300628662,0.22642503678798676,-10.001599311828613,-4.877678871154785,0.5715194344520569,-10.00162124633789,-5.122961521148682,0.5727420449256897,3.049830913543701,3.023074150085449,0.0,0.0
24,-7.015841484069824,-5.333543300628662,0.220293790102005,-10.001625061035156,-4.8777031898498535,0.5715043544769287,-10.0016450881958,-5.122989177703857,0.5727567672729492,3.0407307147979736,3.0138988494873047,0.0,0.0
25,-7.02584171295166,-5.333543300628662,0.21391728520393372,-10.001646041870117,-4.877727031707764,0.5714912414550781,-10.001666069030762,-5.1230149269104,0.572769820690155,3.031672716140747,3.004767656326294,0.0,0.0
26,-7.035841941833496,-5.333543300628662,0.20729553699493408,-10.001663208007812,-4.877752780914307,0.571479856967926,-10.001681327819824,-5.123040199279785,0.5727819204330444,3.0226595401763916,2.9956793785095215,0.0,0.0
27,-7.045842170715332,-5.333543300628662,0.2004285454750061,-10.001673698425293,-4.877778053283691,0.571470320224762,-10.001692771911621,-5.123064041137695,0.5727925300598145,3.0136911869049072,2.9866385459899902,0.0,0.0
28,-7.055842399597168,-5.333543300628662,0.1933162957429886,-10.00168514251709,-4.87780237197876,0.5714632868766785,-10.001702308654785,-5.123087406158447,0.572801411151886,3.0047767162323,2.9776484966278076,0.0,0.0
29,-7.065842628479004,-5.333543300628662,0.18595880270004272,-10.001693725585938,-4.8778276443481445,0.5714580416679382,-10.001709938049316,-5.123109817504883,0.5728086233139038,2.995915412902832,2.968712091445923,0.0,0.0
30,-7.07584285736084,-5.333543300628662,0.17835605144500732,-10.001699447631836,-4.877850532531738,0.5714544057846069,-10.001717567443848,-5.123129844665527,0.5728143453598022,2.9871087074279785,2.9598333835601807,0.0,0.0
31,-7.085843086242676,-5.333543300628662,0.17050805687904358,-10.00170612335205,-4.87787389755249,0.571452260017395,-10.001724243164062,-5.123149871826172,0.5728187561035156,2.978363275527954,2.9510138034820557,0.0,0.0
32,-7.095843315124512,-5.333543300628662,0.1624148041009903,-10.001710891723633,-4.877898216247559,0.5714516639709473,-10.001730918884277,-5.123169898986816,0.5728216767311096,2.9696781635284424,2.942256450653076,0.0,0.0
33,-7.105843544006348,-5.333543300628662,0.15407630801200867,-10.00172233581543,-4.877920627593994,0.5714519619941711,-10.001742362976074,-5.1231889724731445,0.5728236436843872,2.9610652923583984,2.9335689544677734,0.0,0.0
34,-7.115843772888184,-5.333543300628662,0.1454925537109375,-10.001729965209961,-4.8779425621032715,0.5714538097381592,-10.001751899719238,-5.123206615447998,0.5728241801261902,2.952516794204712,2.924947738647461,0.0,0.0
35,-7.1258440017700195,-5.333543300628662,0.136663556098938,-10.001740455627441,-4.877964496612549,0.5714564919471741,-10.001764297485352,-5.123224258422852,0.5728233456611633,2.9440410137176514,2.9163997173309326,0.0,0.0
