frame,ball_x,ball_y,ball_z,le_x,le_y,le_z,re_x,re_y,re_z,le_to_ball,re_to_ball,ee_raw,ee_scaled
0,-8.765835762023926,-5.333543300628662,0.2997547686100006,-9.9986572265625,-4.877414226531982,0.5734317898750305,-9.99866008758545,-5.12248420715332,0.5736760497093201,1.3426843881607056,1.2804040908813477,0.0,0.0
1,-8.765835762023926,-5.333543300628662,0.2992642819881439,-9.998686790466309,-4.877394199371338,0.5729314088821411,-9.99866008758545,-5.122483730316162,0.5731873512268066,1.3427164554595947,1.2804045677185059,0.0,0.0
2,-8.765835762023926,-5.333543300628662,0.2985285222530365,-9.998696327209473,-4.877354621887207,0.5721820592880249,-9.998653411865234,-5.122483253479004,0.5724557042121887,1.342735767364502,1.2803990840911865,0.0,0.0
3,-8.765835762023926,-5.333543300628662,0.29754751920700073,-9.998703002929688,-4.877313137054443,0.572190523147583,-9.998677253723145,-5.122505187988281,0.572496771812439,1.3429580926895142,1.280637502670288,0.0,0.0
4,-8.765835762023926,-5.333543300628662,0.2963212728500366,-9.998876571655273,-4.877258777618408,0.5721487402915955,-9.998923301696777,-5.122518062591553,0.5725075006484985,1.3433785438537598,1.281138300895691,0.0,0.0
5,-8.765835762023926,-5.333543300628662,0.29484978318214417,-9.99888801574707,-4.877216815948486,0.5720277428627014,-9.999101638793945,-5.122535228729248,0.5725023150444031,1.3436812162399292,1.2816239595413208,0.0,0.0
6,-8.765835762023926,-5.333543300628662,0.293133020401001,-9.998818397521973,-4.877184867858887,0.5720071792602539,-9.999284744262695,-5.122560024261475,0.5725545287132263,1.3439791202545166,1.2821804285049438,0.0,0.0
7,-8.765835762023926,-5.333543300628662,0.29117101430892944,-9.998625755310059,-4.877161502838135,0.5719706416130066,-9.999451637268066,-5.122588634490967,0.5725973844528198,1.3442113399505615,1.2827746868133545,0.0,0.0
8,-8.765835762023926,-5.333543300628662,0.28896376490592957,-9.998309135437012,-4.877151966094971,0.5719402432441711,-9.999606132507324,-5.122620582580566,0.5726447701454163,1.3443807363510132,1.2834144830703735,0.0,0.0
9,-8.765835762023926,-5.333543300628662,0.28651127219200134,-9.9978609085083,-4.877150058746338,0.5719208121299744,-9.999749183654785,-5.122650623321533,0.5726971626281738,1.344484806060791,1.2841029167175293,0.0,0.0
10,-8.765835762023926,-5.333543300628662,0.2838135361671448,-9.997274398803711,-4.877161979675293,0.571914553642273,-9.999874114990234,-5.122681140899658,0.572752833366394,1.344517469406128,1.284834384918213,0.0,0.0
11,-8.765835762023926,-5.333543300628662,0.2808705270290375,-9.996551513671875,-4.877182960510254,0.57192462682724,-9.999982833862305,-5.122709274291992,0.57281094789505,1.3444844484329224,1.2856123447418213,0.0,0.0
12,-8.765835762023926,-5.333543300628662,0.27768227458000183,-9.995689392089844,-4.877211570739746,0.5719543099403381,-10.000077247619629,-5.1227312088012695,0.5728709697723389,1.344386339187622,1.2864408493041992,0.0,0.0
13,-8.765835762023926,-5.333543300628662,0.27424877882003784,-9.994694709777832,-4.877248764038086,0.572006344795227,-10.00015926361084,-5.122748851776123,0.5729312896728516,1.3442316055297852,1.2873228788375854,0.0,0.0
14,-8.765835762023926,-5.333543300628662,0.2705700397491455,-9.993575096130371,-4.877291679382324,0.5720838308334351,-10.00023365020752,-5.122761249542236,0.5729923248291016,1.3440312147140503,1.2882648706436157,0.0,0.0
15,-8.765835762023926,-5.333543300628662,0.26664602756500244,-9.992328643798828,-4.877342700958252,0.5721904039382935,-10.000297546386719,-5.122768402099609,0.5730525255203247,1.3437861204147339,1.2892659902572632,0.0,0.0
16,-8.765835762023926,-5.333543300628662,0.26247677206993103,-9.990974426269531,-4.877398490905762,0.5723282694816589,-10.000361442565918,-5.122769832611084,0.5731104612350464,1.3435181379318237,1.290338158607483,0.0,0.0
17,-8.765835762023926,-5.333543300628662,0.2580622732639313,-9.989517211914062,-4.87746000289917,0.5724990367889404,-10.000420570373535,-5.122766494750977,0.5731669664382935,1.3432344198226929,1.2914787530899048,0.0,0.0
18,-8.765835762023926,-5.333543300628662,0.2534025311470032,-9.987958908081055,-4.877527236938477,0.5727060437202454,-10.000480651855469,-5.1227593421936035,0.5732206106185913,1.3429409265518188,1.29269540309906,0.0,0.0
