frame,ball_x,ball_y,ball_z,le_x,le_y,le_z,re_x,re_y,re_z,le_to_ball,re_to_ball,ee_raw,ee_scaled
0,-8.765835762023926,-5.333543300628662,0.2997547686100006,-9.9986572265625,-4.877414226531982,0.5734317898750305,-9.99866008758545,-5.12248420715332,0.5736760497093201,1.3426843881607056,1.2804040908813477,0.0,0.0
1,-8.765835762023926,-5.333543300628662,0.2992642819881439,-9.9986572265625,-4.877458095550537,0.5729468464851379,-9.998661041259766,-5.12248420715332,0.5731831192970276,1.3426706790924072,1.2804044485092163,0.0,0.0
2,-8.765835762023926,-5.333543300628662,0.2985285222530365,-9.998673439025879,-4.877569198608398,0.5722214579582214,-9.998662948608398,-5.122482776641846,0.5724435448646545,1.3426499366760254,1.2804057598114014,0.0,0.0
3,-8.765835762023926,-5.333543300628662,0.29754751920700073,-9.99876880645752,-4.8777666091918945,0.5722273588180542,-9.998703002929688,-5.122496128082275,0.572446882724762,1.3428720235824585,1.2806529998779297,0.0,0.0
4,-8.765835762023926,-5.333543300628662,0.2963212728500366,-9.999154090881348,-4.878041744232178,0.5722240805625916,-9.998980522155762,-5.122488975524902,0.5724419355392456,1.3433830738067627,1.2811840772628784,0.0,0.0
5,-8.765835762023926,-5.333543300628662,0.29484978318214417,-9.999520301818848,-4.878422260284424,0.5720956921577454,-9.999199867248535,-5.1224775314331055,0.572378933429718,1.3438668251037598,1.2817013263702393,0.0,0.0
6,-8.765835762023926,-5.333543300628662,0.293133020401001,-9.999966621398926,-4.878907203674316,0.5720943808555603,-9.999425888061523,-5.1224684715271,0.572383463382721,1.344467282295227,1.2822940349578857,0.0,0.0
7,-8.765835762023926,-5.333543300628662,0.29117101430892944,-10.00048828125,-4.879490852355957,0.5720652341842651,-9.999658584594727,-5.122454643249512,0.5723666548728943,1.3451513051986694,1.2829450368881226,0.0,0.0
8,-8.765835762023926,-5.333543300628662,0.28896376490592957,-10.001070022583008,-4.880171775817871,0.5720440745353699,-9.999887466430664,-5.122435092926025,0.57235187292099,1.3459137678146362,1.2836506366729736,0.0,0.0
9,-8.765835762023926,-5.333543300628662,0.28651127219200134,-10.001717567443848,-4.880944728851318,0.5720285773277283,-10.000105857849121,-5.122410774230957,0.5723381638526917,1.3467625379562378,1.2844051122665405,0.0,0.0
10,-8.765835762023926,-5.333543300628662,0.2838135361671448,-10.00242805480957,-4.881806373596191,0.572022020816803,-10.00031852722168,-5.122383117675781,0.5723248720169067,1.3476983308792114,1.2852140665054321,0.0,0.0
11,-8.765835762023926,-5.333543300628662,0.2808705270290375,-10.003193855285645,-4.882748126983643,0.5720267295837402,-10.000513076782227,-5.122352123260498,0.5723139643669128,1.3487191200256348,1.286067247390747,0.0,0.0
12,-8.765835762023926,-5.333543300628662,0.27768227458000183,-10.004013061523438,-4.883763313293457,0.5720446705818176,-10.000693321228027,-5.122315883636475,0.5723052620887756,1.349827527999878,1.2869704961776733,0.0,0.0
13,-8.765835762023926,-5.333543300628662,0.27424877882003784,-10.004876136779785,-4.88484525680542,0.5720776319503784,-10.000855445861816,-5.12227725982666,0.5722995400428772,1.351019263267517,1.2879213094711304,0.0,0.0
14,-8.765835762023926,-5.333543300628662,0.2705700397491455,-10.005783081054688,-4.885986328125,0.5721281170845032,-10.001001358032227,-5.122236728668213,0.5722965002059937,1.352299451828003,1.2889232635498047,0.0,0.0
15,-8.765835762023926,-5.333543300628662,0.26664602756500244,-10.006723403930664,-4.887176990509033,0.5721971988677979,-10.001124382019043,-5.122191429138184,0.5722971558570862,1.3536641597747803,1.2899730205535889,0.0,0.0
16,-8.765835762023926,-5.333543300628662,0.26247677206993103,-10.007696151733398,-4.888411521911621,0.5722863078117371,-10.001230239868164,-5.122146129608154,0.5723011493682861,1.355116844177246,1.291076898574829,0.0,0.0
17,-8.765835762023926,-5.333543300628662,0.2580622732639313,-10.00870132446289,-4.8893632888793945,0.5723597407341003,-10.00131607055664,-5.122101783752441,0.5723166465759277,1.35675847530365,1.2922364473342896,0.0,0.0
18,-8.765835762023926,-5.333543300628662,0.2534025311470032,-10.0097017288208,-4.889428615570068,0.5723466873168945,-10.001374244689941,-5.122089385986328,0.5723478198051453,1.3587368726730347,1.293442726135254,0.0,0.0
19,-8.765835762023926,-5.333543300628662,0.24849753081798553,-10.010684967041016,-4.889488220214844,0.5723444223403931,-10.001453399658203,-5.122074127197266,0.5723788738250732,1.3607759475708008,1.29474675655365,0.0,0.0
20,-8.765835762023926,-5.333543300628662,0.24334728717803955,-10.011688232421875,-4.889541149139404,0.5723490118980408,-10.001510620117188,-5.122075080871582,0.5724111795425415,1.3629117012023926,1.296107292175293,0.0,0.0
21,-8.765835762023926,-5.333543300628662,0.23795178532600403,-10.01269817352295,-4.889593601226807,0.5723629593849182,-10.00156021118164,-5.122088432312012,0.5724416375160217,1.3651330471038818,1.297540545463562,0.0,0.0
22,-8.765835762023926,-5.333543300628662,0.23231104016304016,-10.013720512390137,-4.889644145965576,0.5723866820335388,-10.0015869140625,-5.1221184730529785,0.5724722146987915,1.367448091506958,1.2990347146987915,0.0,0.0
23,-8.765835762023926,-5.333543300628662,0.22642503678798676,-10.014755249023438,-4.889695167541504,0.5724200010299683,-10.001603126525879,-5.122161388397217,0.5725008845329285,1.369858980178833,1.3006043434143066,0.0,0.0
24,-8.765835762023926,-5.333543300628662,0.220293790102005,-10.015798568725586,-4.889746189117432,0.57246333360672,-10.001601219177246,-5.1222147941589355,0.5725284814834595,1.3723652362823486,1.302246332168579,0.0,0.0
25,-8.765835762023926,-5.333543300628662,0.21391728520393372,-10.01684856414795,-4.88979959487915,0.5725165009498596,-10.001583099365234,-5.122279644012451,0.5725539326667786,1.3749672174453735,1.3039647340774536,0.0,0.0
26,-8.765835762023926,-5.333543300628662,0.20729553699493408,-10.017908096313477,-4.889853000640869,0.5725798010826111,-10.001551628112793,-5.122350215911865,0.5725780725479126,1.377671480178833,1.3057670593261719,0.0,0.0
27,-8.765835762023926,-5.333543300628662,0.2004285454750061,-10.018972396850586,-4.889907360076904,0.5726529359817505,-10.001508712768555,-5.122426509857178,0.5726000070571899,1.380476474761963,1.307658076286316,0.0,0.0
28,-8.765835762023926,-5.333543300628662,0.1933162957429886,-10.020035743713379,-4.889965534210205,0.5727356672286987,-10.001450538635254,-5.122507095336914,0.5726197361946106,1.3833791017532349,1.3096377849578857,0.0,0.0
29,-8.765835762023926,-5.333543300628662,0.18595880270004272,-10.021106719970703,-4.890024662017822,0.5728281140327454,-10.001384735107422,-5.122587203979492,0.5726377964019775,1.3863916397094727,1.3117181062698364,0.0,0.0
30,-8.765835762023926,-5.333543300628662,0.17835605144500732,-10.022176742553711,-4.890085220336914,0.5729303956031799,-10.001307487487793,-5.122669696807861,0.5726538300514221,1.3895094394683838,1.3138983249664307,0.0,0.0
31,-8.765835762023926,-5.333543300628662,0.17050805687904358,-10.023246765136719,-4.8901472091674805,0.5730410814285278,-10.001222610473633,-5.1227498054504395,0.5726678967475891,1.3927366733551025,1.316186547279358,0.0,0.0
32,-8.765835762023926,-5.333543300628662,0.1624148041009903,-10.024316787719727,-4.890212059020996,0.573161244392395,-10.001130104064941,-5.122829437255859,0.5726795792579651,1.3960765600204468,1.3185862302780151,0.0,0.0
33,-8.765835762023926,-5.333543300628662,0.15407630801200867,-10.025385856628418,-4.8902788162231445,0.5732908844947815,-10.001033782958984,-5.12290620803833,0.5726887583732605,1.3995323181152344,1.3211050033569336,0.0,0.0
34,-8.765835762023926,-5.333543300628662,0.1454925537109375,-10.026453018188477,-4.890344142913818,0.5734298825263977,-10.000931739807129,-5.122978687286377,0.5726950168609619,1.4031078815460205,1.3237452507019043,0.0,0.0
35,-8.765835762023926,-5.333543300628662,0.136663556098938,-10.027518272399902,-4.890410900115967,0.5735781192779541,-10.000826835632324,-5.123047828674316,0.5726991295814514,1.4068061113357544,1.326513648033142,0.0,0.0
36,-8.765835762023926,-5.333543300628662,0.12758931517601013,-10.028581619262695,-4.890478610992432,0.5737348198890686,-10.000723838806152,-5.12311315536499,0.5727009177207947,1.4106308221817017,1.3294185400009155,0.0,0.0
37,-8.765835762023926,-5.333543300628662,0.11826981604099274,-10.029640197753906,-4.890547275543213,0.5739009380340576,-10.000618934631348,-5.123173713684082,0.5727006196975708,1.414583683013916,1.332460880279541,0.0,0.0
38,-8.765835762023926,-5.333543300628662,0.108705073595047,-10.030694007873535,-4.890616416931152,0.5740751624107361,-10.00051212310791,-5.123231887817383,0.5726976990699768,1.4186683893203735,1.3356443643569946,0.0,0.0
39,-8.765835762023926,-5.333543300628662,0.10000116378068924,-10.031745910644531,-4.890684604644775,0.574257493019104,-10.000409126281738,-5.123284816741943,0.5726929306983948,1.4225229024887085,1.3385878801345825,0.0,0.0
40,-8.765835762023926,-5.333543300628662,0.10000116378068924,-10.032793998718262,-4.8907551765441895,0.5744481682777405,-10.000312805175781,-5.1233344078063965,0.5726863145828247,1.423497200012207,1.3384889364242554,0.0,0.0
41,-8.765835762023926,-5.333543300628662,0.10000116378068924,-10.033845901489258,-4.890826225280762,0.5746477842330933,-10.000219345092773,-5.123381614685059,0.5726797580718994,1.4244780540466309,1.338392972946167,0.0,0.0
42,-8.765835762023926,-5.333543300628662,0.10000116378068924,-10.03487491607666,-4.890897750854492,0.5748485922813416,-10.000127792358398,-5.123424530029297,0.5726721882820129,1.4254387617111206,1.3382991552352905,0.0,0.0
43,-8.765835762023926,-5.333543300628662,0.10000116378068924,-10.035872459411621,-4.89097261428833,0.5750485062599182,-10.000041961669922,-5.123467445373535,0.5726647973060608,1.4263702630996704,1.3382107019424438,0.0,0.0
44,-8.765835762023926,-5.333543300628662,0.10000116378068924,-10.036824226379395,-4.891049385070801,0.5752424597740173,-9.999956130981445,-5.123507976531982,0.572656512260437,1.4272584915161133,1.3381221294403076,0.0,0.0
