sp,sr,sy,se,max_disp,final_disp,fwd,outward,upward,sat_rate
1,-1,-1,-1,0.10198085010051727,0.06960944831371307,-0.02101421356201172,-0.06368112564086914,-0.018670618534088135,0.0
1,1,0,1,0.08629056066274643,0.049683358520269394,-0.04440879821777344,-0.014320850372314453,0.017064809799194336,0.0
0,1,1,1,0.08491400629281998,0.04036252945661545,-0.036838531494140625,-0.004693031311035156,0.015812397003173828,0.0
-1,1,0,-1,0.08448636531829834,0.06286826729774475,0.05775928497314453,0.017723560333251953,-0.01738274097442627,0.0
0,-1,-1,-1,0.08405020087957382,0.079032763838768,0.01756000518798828,-0.07039260864257812,-0.03134810924530029,0.0
1,1,1,1,0.08322328329086304,0.004603048786520958,0.0044193267822265625,0.00017881393432617188,-0.0012750029563903809,0.0
1,1,0,-1,0.08269564807415009,0.08197087049484253,0.06746673583984375,0.03905916213989258,-0.025334656238555908,0.0
1,1,1,0,0.08036068826913834,0.00326216290704906,0.0025625228881835938,0.00023603439331054688,-0.002004861831665039,0.0
-1,1,1,0,0.07875575125217438,0.004675265867263079,-0.0038280487060546875,0.002495288848876953,0.000988781452178955,0.0
1,1,-1,1,0.07870829105377197,0.02288343943655491,-0.014369964599609375,-0.016921520233154297,0.005551397800445557,0.0
-1,1,1,1,0.07853558659553528,0.04705902934074402,-0.042586326599121094,-0.008527755737304688,0.018117249011993408,0.0
-1,1,0,0,0.07688343524932861,0.03725333884358406,-0.03337574005126953,-0.004910469055175781,0.015803754329681396,0.0
0,1,0,1,0.07544999569654465,0.03785443678498268,0.035872459411621094,-0.004852771759033203,-0.011071383953094482,0.0
1,0,1,0,0.07460934668779373,0.03699673339724541,-0.03215217590332031,-0.014554500579833984,0.011097848415374756,0.0
1,1,0,0,0.07406847923994064,0.016300834715366364,0.016223907470703125,-0.0002617835998535156,-0.0015599727630615234,0.0
1,-1,-1,1,0.07337647676467896,0.024774981662631035,0.020923614501953125,0.01251220703125,-0.004409849643707275,0.0
0,1,1,0,0.0728921964764595,0.01913514733314514,0.01812744140625,-0.005630016326904297,-0.0024192333221435547,0.0
1,1,-1,-1,0.06986156851053238,0.028105290606617928,0.000820159912109375,0.02702617645263672,0.0076694488525390625,0.0
1,0,0,1,0.06818531453609467,0.03506862372159958,-0.02871227264404297,-0.013894081115722656,0.014572858810424805,0.0
0,1,-1,1,0.06798461824655533,0.022182969376444817,0.02215862274169922,0.0005087852478027344,-0.0009059309959411621,0.0
1,1,1,-1,0.06796500831842422,0.046434201300144196,0.03952789306640625,0.016252994537353516,-0.018152713775634766,0.0
1,1,-1,0,0.06717032194137573,0.0646258294582367,-0.056990623474121094,-0.01931142807006836,0.023571908473968506,0.0
0,0,-1,-1,0.06576137244701385,0.06576137244701385,0.04534721374511719,0.045340538024902344,-0.014574766159057617,0.0
-1,1,-1,0,0.06563455611467361,0.003993263468146324,0.0008573532104492188,-0.0016603469848632812,0.003529071807861328,0.0
-1,-1,-1,-1,0.06491462886333466,0.057459838688373566,0.017377853393554688,-0.05001020431518555,0.022329866886138916,0.0
0,1,-1,0,0.06485572457313538,0.057998936623334885,-0.051980018615722656,-0.013196945190429688,0.02208608388900757,0.0
-1,1,1,-1,0.0646686851978302,0.024400051683187485,0.016668319702148438,0.010856151580810547,-0.014130592346191406,0.0
-1,1,0,1,0.06321781873703003,0.016765793785452843,0.01616191864013672,-0.0038933753967285156,-0.002173900604248047,0.0
-1,1,-1,1,0.062321122735738754,0.024930745363235474,-0.02227020263671875,-0.010760307312011719,-0.0031298398971557617,0.0
-1,0,1,1,0.061040379106998444,0.02895924635231495,-0.02405548095703125,-0.008677959442138672,0.013589143753051758,0.0
-1,0,0,0,0.0603015199303627,0.0373300276696682,-0.03454780578613281,-0.0013370513916015625,0.014078080654144287,0.0
0,0,1,1,0.05918455123901367,0.04315156489610672,-0.038288116455078125,-0.012735843658447266,0.015293002128601074,0.0
1,0,-1,1,0.05889350175857544,0.016406144946813583,0.0151824951171875,0.006050586700439453,0.0014296174049377441,0.0
0,0,1,0,0.05867369845509529,0.009743100963532925,0.0072460174560546875,0.006211757659912109,-0.001958906650543213,0.0
-1,0,1,0,0.058235011994838715,0.006073926109820604,0.00017642974853515625,0.0060520172119140625,-0.00048428773880004883,0.0
-1,-1,1,0,0.057599201798439026,0.009165561757981777,-0.00826263427734375,0.0038328170776367188,-0.0010226964950561523,0.0
1,0,0,0,0.057369958609342575,0.0042701223865151405,0.0040912628173828125,0.0009174346923828125,0.0008085966110229492,0.0
1,-1,-1,0,0.056802935898303986,0.056802935898303986,-0.04657554626464844,-0.029004573822021484,0.014697849750518799,0.0
0,0,0,0,0.056662801653146744,0.03549176827073097,-0.029038429260253906,-0.010802268981933594,0.01731318235397339,0.0
0,1,0,0,0.055839903652668,0.02450275793671608,-0.023734092712402344,-0.0012011528015136719,0.005969524383544922,0.0
0,1,0,-1,0.05495159700512886,0.012141279876232147,0.01104736328125,0.0035767555236816406,-0.0035458803176879883,0.0
0,1,-1,-1,0.05348903313279152,0.04578167200088501,0.02082347869873047,0.03897571563720703,-0.01196819543838501,0.0
1,-1,1,1,0.051658350974321365,0.005977406166493893,0.004566192626953125,-0.0020465850830078125,0.003269672393798828,0.0
1,0,-1,0,0.051403824239969254,0.04906422644853592,-0.04331684112548828,-0.018453598022460938,0.013799071311950684,0.0
0,1,1,-1,0.050362639129161835,0.024841414764523506,0.013264656066894531,0.02057790756225586,-0.004206478595733643,0.0
-1,0,-1,1,0.049506478011608124,0.013681394048035145,0.0015363693237304688,0.007688999176025391,0.011211574077606201,0.0
-1,1,-1,-1,0.049124397337436676,0.038806572556495667,-0.019046783447265625,0.03162813186645508,0.011951208114624023,0.0
