0: pelvis
1: imu_in_pelvis
2: left_hip_pitch_link
3: left_hip_roll_link
4: left_hip_yaw_link
5: left_knee_link
6: left_ankle_pitch_link
7: left_ankle_roll_link
8: pelvis_contour_link
9: right_hip_pitch_link
10: right_hip_roll_link
11: right_hip_yaw_link
12: right_knee_link
13: right_ankle_pitch_link
14: right_ankle_roll_link
15: waist_yaw_link
16: waist_roll_link
17: torso_link
18: d435_link
19: head_link
20: imu_in_torso
21: left_shoulder_pitch_link
22: left_shoulder_roll_link
23: left_shoulder_yaw_link
24: left_elbow_link
25: left_wrist_roll_link
26: left_wrist_pitch_link
27: left_wrist_yaw_link
28: left_rubber_hand
29: logo_link
30: mid360_link
31: right_shoulder_pitch_link
32: right_shoulder_roll_link
33: right_shoulder_yaw_link
34: right_elbow_link
35: right_wrist_roll_link
36: right_wrist_pitch_link
37: right_wrist_yaw_link
38: right_rubber_hand
