step,mode,term_reason,term_reason_name,episode_length,ball_contact,ball_blocked,goal_conceded,contact_body_name,contact_body_idx,ball_speed,ball_shot_level,ball_pos_x,ball_pos_y,ball_pos_z,ball_lin_vel_x,ball_lin_vel_y,ball_lin_vel_z,base_pos_x,base_pos_y,base_pos_z,base_rpy_x,base_rpy_y,base_rpy_z,dof_pos_0_x,dof_pos_0_y,dof_pos_0_z
0,random_small,0,none,2,0,0,0,,-1,2.185818672180176,0,2.1025850772857666,-0.1079833135008812,0.14685945212841034,-2.141624927520752,0.18083196878433228,-0.39817774295806885,0.0020037563517689705,0.00033382896799594164,0.4223565459251404,0.0029253452084958553,-0.0071046059019863605,0.0008766320534050465,0.01641768030822277,-0.0025717501994222403,0.010358506813645363
1,random_small,0,none,3,0,0,0,,-1,2.229477882385254,0,2.059757947921753,-0.10436712950468063,0.13644464313983917,-2.1411967277526855,0.1807957887649536,-0.594273567199707,0.0024342420510947704,0.0005440710228867829,0.4347861409187317,0.0005451420438475907,-0.006701942998915911,-0.0002010780735872686,0.018484149128198624,-0.0020661226008087397,0.025945859029889107
2,random_small,0,none,4,0,0,0,,-1,2.289144992828369,0,2.016939401626587,-0.10075166076421738,0.12210838496685028,-2.140768527984619,0.18075960874557495,-0.7903300523757935,0.002551378682255745,0.0005328324041329324,0.44322219491004944,-0.003287262748926878,-0.005543888546526432,0.0006846428732387722,0.017932642251253128,0.0019213975174352527,0.03621372953057289
3,random_small,0,none,5,0,0,0,,-1,2.3635988235473633,0,1.9741294384002686,-0.09713691473007202,0.10385151207447052,-2.1403403282165527,0.1807234287261963,-0.9863473773002625,0.0018658075714483857,0.0005094530060887337,0.44770026206970215,-0.0047265817411243916,-0.0015285874251276255,0.0040029543451964855,0.00563792185857892,0.0029538737144321203,0.03792288899421692
4,random_small,0,none,6,0,0,0,,-1,1.009879231452942,0,1.9503529071807861,-0.09512931853532791,0.10288893431425095,-1.0026613473892212,0.08466149121522903,0.08578257262706757,0.0009397265966981649,0.000576350896153599,0.4482428729534149,-0.004621647298336029,0.002698458032682538,0.010925700888037682,-0.009221893735229969,0.00181608519051224,0.011373740620911121
5,random_small,0,none,7,0,0,0,,-1,1.0120683908462524,0,1.9303022623062134,-0.09343629330396652,0.10215211659669876,-1.0024605989456177,0.08464456349611282,-0.11041005700826645,0.0002521425485610962,0.0008559415000490844,0.4448269009590149,-0.0017630995716899633,0.005329309031367302,0.013283359818160534,-0.009589717723429203,-0.0048324111849069595,-0.008343545719981194
6,random_small,0,none,8,0,0,0,,-1,1.2817336320877075,0,1.9080065488815308,-0.0915537178516388,0.09999972581863403,-1.277188777923584,0.10784171521663666,-1.177577786393158e-07,-0.0010272867511957884,0.001111456542275846,0.4374832510948181,0.0010357147548347712,0.01023921649903059,0.009247323498129845,-0.019624751061201096,-0.009669706225395203,-0.0025008306838572025
7,random_small,0,none,9,0,0,0,,-1,1.4580349922180176,0,1.8802666664123535,-0.08921146392822266,0.09999973326921463,-1.4528651237487793,0.12267524003982544,-3.277295235193378e-08,-0.0018605607328936458,0.0013705423334613442,0.42618435621261597,0.0027222204953432083,0.01297791488468647,0.0080117704346776,-0.02127809450030327,-0.013144738040864468,0.008567334152758121
8,random_small,0,none,10,0,0,0,,-1,1.532720923423767,0,1.8498716354370117,-0.08664500713348389,0.09999974071979523,-1.527286171913147,0.1289590746164322,3.8535151958285496e-08,-0.0030933937523514032,0.0016764820320531726,0.4110206663608551,0.004769947379827499,0.01659334823489189,0.007551881484687328,-0.03123386576771736,-0.01753862388432026,0.0005240662139840424
9,random_small,0,none,11,0,0,0,,-1,1.5324140787124634,0,1.8193297386169434,-0.08406614512205124,0.09999974071979523,-1.5269804000854492,0.12893323600292206,-4.5101941625880215e-10,-0.0035808065440505743,0.00267882295884192,0.4100852608680725,0.0024366064462810755,0.01781800203025341,0.010316170752048492,-0.02796744555234909,-0.022456003352999687,-0.0005588787025772035
10,random_small,0,none,12,0,0,0,,-1,1.5321074724197388,0,1.788793921470642,-0.08148780465126038,0.09999974817037582,-1.5266748666763306,0.12890742719173431,3.853457997138321e-08,-0.003969395067542791,0.0035309824161231518,0.41128355264663696,0.00014784249651711434,0.02067730762064457,0.016525816172361374,-0.027501847594976425,-0.026135427877306938,-0.01343324314802885
11,random_small,0,none,13,0,0,0,,-1,1.5318011045455933,0,1.758264183998108,-0.0789099782705307,0.09999974817037582,-1.526369571685791,0.12888164818286896,1.541519245584766e-09,-0.004526675213128328,0.004080168437212706,0.40877869725227356,-0.0033350063022226095,0.024317484349012375,0.013975568115711212,-0.032049134373664856,-0.026517949998378754,-0.011354169808328152
12,random_small,0,none,14,0,0,0,,-1,1.5314947366714478,0,1.7277406454086304,-0.07633266597986221,0.09999975562095642,-1.526064395904541,0.12885579466819763,4.151343990788092e-10,-0.004444502294063568,0.004780183080583811,0.40838056802749634,-0.00047878274926915765,0.02531321533024311,0.016890520229935646,-0.03389153629541397,-0.03202980384230614,-0.014764958061277866
13,random_small,0,none,15,0,0,0,,-1,1.5311886072158813,0,1.69722318649292,-0.07375587522983551,0.09999975562095642,-1.525759220123291,0.12883006036281586,-4.5103804025004024e-10,-0.004500729963183403,0.00542047992348671,0.4082200229167938,0.0010086032561957836,0.02689649723470211,0.002989474916830659,-0.032161615788936615,-0.035244956612586975,-0.000340403727022931
14,random_small,0,none,16,0,0,0,,-1,1.5308820009231567,0,1.6667118072509766,-0.07117959856987,0.09999976307153702,-1.525453805923462,0.1288043111562729,1.5545366383040715e-10,-0.004613920580595732,0.005890850909054279,0.40819793939590454,0.0010226760059595108,0.028926294296979904,-0.00450661638751626,-0.03281613439321518,-0.036512359976768494,0.006894241087138653
15,random_small,0,none,17,0,0,0,,-1,1.5305756330490112,0,1.6362065076828003,-0.06860383599996567,0.09999976307153702,-1.5251485109329224,0.12877854704856873,-4.509841944333459e-10,-0.004646802321076393,0.006440931931138039,0.4081796705722809,0.0010777143761515617,0.03042810596525669,-0.006320962216705084,-0.03402974456548691,-0.03812689706683159,0.008268064819276333
16,random_small,0,none,18,0,0,0,,-1,1.5302692651748657,0,1.6057072877883911,-0.06602858752012253,0.09999977052211761,-1.5248432159423828,0.12875276803970337,-2.1835733221564624e-09,-0.00436572078615427,0.007174343336373568,0.4081452190876007,0.0011246203212067485,0.03019552305340767,-0.0013117899652570486,-0.03408277779817581,-0.04028258100152016,0.003264152677729726
17,random_small,0,none,19,0,0,0,,-1,1.5299633741378784,0,1.5752142667770386,-0.06345385313034058,0.09999977052211761,-1.5245383977890015,0.12872707843780518,-2.1835488972499206e-09,-0.0038230307400226593,0.008119572885334492,0.4080957770347595,0.0011968251783400774,0.028300443664193153,0.0009723976254463196,-0.03108687326312065,-0.043005283921957016,0.0019759275019168854
18,random_small,0,none,20,0,0,0,,-1,1.5296574831008911,0,1.5447273254394531,-0.06087963283061981,0.09999977797269821,-1.5242335796356201,0.128701314330101,-4.5100256862440347e-10,-0.003194266464561224,0.009151896461844444,0.4080412685871124,0.001255899085663259,0.025777949020266533,0.0014682187465950847,-0.026831794530153275,-0.045933112502098083,0.0028591412119567394
19,random_small,0,none,21,0,0,0,,-1,1.5293515920639038,0,1.5142464637756348,-0.058305930346250534,0.09999978542327881,-1.5239287614822388,0.12867553532123566,3.853457997138321e-08,-0.002537365071475506,0.010220229625701904,0.40797680616378784,0.0013645964208990335,0.022740790620446205,0.0007906031678430736,-0.02174188755452633,-0.049015868455171585,0.005186550784856081
20,random_small,0,none,22,0,0,0,,-1,1.529045581817627,0,1.4837716817855835,-0.055732741951942444,0.09999978542327881,-1.5236238241195679,0.1286497414112091,-4.5098635936824394e-10,-0.0020875537302345037,0.011409769766032696,0.4079318940639496,0.0011685056379064918,0.02048424817621708,-0.0045859673991799355,-0.01704779639840126,-0.052123941481113434,0.012032625265419483
21,random_small,0,none,23,0,0,0,,-1,1.5287396907806396,0,1.4533029794692993,-0.05316007137298584,0.0999997928738594,-1.5233190059661865,0.12862399220466614,-2.183708103231652e-09,-0.0012802918208763003,0.012720133177936077,0.4078187644481659,0.0014896300854161382,0.016186822205781937,-0.005929600913077593,-0.010155003517866135,-0.0561416819691658,0.015586838126182556
22,random_small,0,none,24,0,0,0,,-1,1.5284334421157837,0,1.4228404760360718,-0.050587911158800125,0.0999997928738594,-1.523013949394226,0.1285981982946396,-4.510196660589827e-10,-0.0006554125575348735,0.014051145873963833,0.40772363543510437,0.0016106144757941365,0.012260645627975464,-0.0012684928951784968,-0.005389545112848282,-0.06000006943941116,0.012505561113357544
23,random_small,0,none,25,0,0,0,,-1,1.528127670288086,0,1.3923840522766113,-0.0480162687599659,0.0999998077750206,-1.5227091312408447,0.128572478890419,3.680196414279635e-08,-0.00015332293696701527,0.01554647646844387,0.40761515498161316,0.001736883888952434,0.009133150801062584,-0.0037120943889021873,-0.00035381619818508625,-0.06437007337808609,0.01651144213974476
24,random_small,0,none,26,0,0,0,,-1,1.5278222560882568,0,1.361933708190918,-0.045445140451192856,0.0999998077750206,-1.5224047899246216,0.1285468339920044,3.853443786283606e-08,0.0004914042074233294,0.01725848577916622,0.40748220682144165,0.0017828956479206681,0.005857886280864477,-0.0071044983342289925,0.005386176984757185,-0.06928650289773941,0.021667631343007088
25,random_small,0,none,27,0,0,0,,-1,1.527516484260559,0,1.3314893245697021,-0.042874526232481,0.0999998077750206,-1.5221002101898193,0.1285211741924286,-4.5104869839107664e-10,0.001263115438632667,0.019031880423426628,0.4073335528373718,0.0019820567686110735,0.001903644180856645,-0.0035130309406667948,0.010761785320937634,-0.07450646162033081,0.01975245401263237
26,random_small,0,none,28,0,0,0,,-1,1.527211308479309,0,1.301051139831543,-0.04030442237854004,0.0999998077750206,-1.5217959880828857,0.1284954845905304,-4.510113116307224e-10,0.0017418900970369577,0.0208444707095623,0.4071905016899109,0.001897807465866208,0.0001311645028181374,-0.004863973706960678,0.014152124524116516,-0.07956603914499283,0.0220713522285223
27,random_small,0,none,29,0,0,0,,-1,1.5269055366516113,0,1.2706190347671509,-0.03773483633995056,0.0999998152256012,-1.5214914083480835,0.1284697949886322,-4.5101569701166966e-10,0.0019015406724065542,0.022695103660225868,0.4070139527320862,0.002100361743941903,0.0003447300987318158,-0.010694989934563637,0.015355987474322319,-0.08509213477373123,0.02810339629650116
28,random_small,0,none,30,0,0,0,,-1,1.5265997648239136,0,1.2401930093765259,-0.03516576066613197,0.0999998152256012,-1.5211867094039917,0.128444105386734,-4.5101269940950317e-10,0.00236306875012815,0.024646690115332603,0.4068261981010437,0.0023011069279164076,-0.0014067923184484243,-0.007627865765243769,0.017770741134881973,-0.09081220626831055,0.025714637711644173
29,random_small,0,none,31,0,0,0,,-1,1.526294469833374,0,1.209773063659668,-0.03259719908237457,0.09999983012676239,-1.520882487297058,0.12841841578483582,3.914106727620492e-08,0.0029716622084379196,0.026682786643505096,0.4066137969493866,0.002573951380327344,-0.0037537538446485996,-0.00014923803973942995,0.020490793511271477,-0.09678514301776886,0.019063202664256096
30,random_small,0,none,32,0,0,0,,-1,1.525989055633545,0,1.1793591976165771,-0.03002914972603321,0.09999983757734299,-1.520578145980835,0.12839272618293762,7.379490085668294e-08,0.003131808713078499,0.02868829481303692,0.406403511762619,0.0026705001946538687,-0.002937922952696681,-0.0011301608756184578,0.02028110809624195,-0.10257180780172348,0.019806042313575745
31,random_small,0,none,33,0,0,0,,-1,1.5256839990615845,0,1.148951530456543,-0.027461616322398186,0.09999983012676239,-1.5202741622924805,0.12836705148220062,-4.509978779321244e-10,0.003077510744333267,0.03080209344625473,0.4061746597290039,0.002772380830720067,-0.0012012176448479295,-0.003233507042750716,0.018718386068940163,-0.10868246108293533,0.021246004849672318
32,random_small,0,none,34,0,0,0,,-1,1.5253785848617554,0,1.1185498237609863,-0.02489459700882435,0.09999983757734299,-1.5199698209762573,0.12834137678146362,-2.1837085473208617e-09,0.0029617210384458303,0.03303928300738335,0.4059222340583801,0.0029931210447102785,0.0009702208335511386,0.0014315630542114377,0.015496492385864258,-0.11516813933849335,0.015483786351978779
33,random_small,0,none,35,0,0,0,,-1,1.525073528289795,0,1.0881541967391968,-0.02232808992266655,0.09999983757734299,-1.5196658372879028,0.12831570208072662,-4.5098319523262376e-10,0.002920118859037757,0.03528308868408203,0.4056442379951477,0.0033317680936306715,0.003062870819121599,0.011352187022566795,0.01193145476281643,-0.12174525111913681,0.004472086206078529
34,random_small,0,none,36,0,0,0,,-1,1.5247687101364136,0,1.0577646493911743,-0.01976209692656994,0.09999984502792358,-1.5193620920181274,0.1282900720834732,-2.1837707198102407e-09,0.0028546052053570747,0.03763091191649437,0.40534961223602295,0.0034069123212248087,0.005781383719295263,0.008761542849242687,0.0094917519018054,-0.12851020693778992,0.006063744425773621
35,random_small,0,none,37,0,0,0,,-1,1.5244641304016113,0,1.0273813009262085,-0.017196616157889366,0.09999984502792358,-1.5190585851669312,0.1282644271850586,-2.1837507357957975e-09,0.002463863231241703,0.04029424116015434,0.40500420331954956,0.003362258430570364,0.010581262409687042,-0.00478123826906085,0.005477368365973234,-0.13618315756320953,0.01788650080561638
36,random_small,0,none,38,0,0,0,,-1,1.5241590738296509,0,0.9970039129257202,-0.014631646685302258,0.09999985247850418,-1.5187546014785767,0.1282387673854828,-4.5099191048336706e-10,0.0022481500636786222,0.04316214844584465,0.4046041965484619,0.003485793713480234,0.014500057324767113,-0.009155821055173874,0.0015307966386899352,-0.1445118933916092,0.02071223594248295
37,random_small,0,none,39,0,0,0,,-1,1.5238542556762695,0,0.966632604598999,-0.012067192234098911,0.09999985247850418,-1.5184508562088013,0.12821316719055176,-4.510058160267505e-10,0.0025401890743523836,0.04618213325738907,0.404139906167984,0.003715797793120146,0.015546085312962532,-0.005340119823813438,0.0008585143950767815,-0.15330733358860016,0.016491195186972618
38,random_small,0,none,40,0,0,0,,-1,1.52354896068573,0,0.9362673759460449,-0.009503250010311604,0.09999985992908478,-1.5181467533111572,0.12818749248981476,-4.510360140930203e-10,0.003172837197780609,0.049414221197366714,0.4036014676094055,0.004047179128974676,0.014950298704206944,-0.0013109208084642887,0.0027263250667601824,-0.16282124817371368,0.012774855829775333
39,random_small,0,none,41,0,0,0,,-1,1.5232441425323486,0,0.9059082269668579,-0.006939821410924196,0.09999986737966537,-1.5178430080413818,0.12816183269023895,3.8534416546553985e-08,0.003605620004236698,0.052840493619441986,0.40300893783569336,0.004278023261576891,0.015608970075845718,-0.0015018308768048882,0.003256595693528652,-0.17285415530204773,0.012759862467646599
40,random_small,0,none,42,0,0,0,,-1,1.5229390859603882,0,0.875555157661438,-0.00437690457329154,0.09999986737966537,-1.5175389051437378,0.12813617289066315,-4.5104461832146114e-10,0.004329171031713486,0.05633264034986496,0.402349591255188,0.004679718520492315,0.013957456685602665,0.005154108628630638,0.006343048997223377,-0.18315604329109192,0.006796564906835556
41,random_small,0,none,43,0,0,0,,-1,1.5226341485977173,0,0.8452081680297852,-0.001814501010812819,0.09999987483024597,-1.5172351598739624,0.12811055779457092,3.853440944112663e-08,0.004897995851933956,0.060033559799194336,0.4016185402870178,0.005143419373780489,0.012991515919566154,0.012674925848841667,0.008321879431605339,-0.19410204887390137,-0.0003328001475892961
42,random_small,0,none,44,0,0,0,,-1,1.5223298072814941,0,0.8148672580718994,0.0007473896257579327,0.09999987483024597,-1.5169318914413452,0.1280849128961563,1.5417999099653912e-09,0.0051009682938456535,0.06400326639413834,0.40080884099006653,0.005423738155514002,0.015481910668313503,0.01282988116145134,0.006634104065597057,-0.20577453076839447,-0.0014666924253106117
43,random_small,0,none,45,0,0,0,,-1,1.5220258235931396,0,0.7845324277877808,0.0033087674528360367,0.09999988228082657,-1.5166289806365967,0.1280592828989029,4.154042942960956e-10,0.005470764823257923,0.06803616881370544,0.3999338150024414,0.005645697005093098,0.018084153532981873,0.00884982943534851,0.005534852389246225,-0.21767762303352356,0.0014746980741620064
44,random_small,0,none,46,0,0,0,,-1,1.5217214822769165,0,0.7542036175727844,0.005869632121175528,0.09999988228082657,-1.5163257122039795,0.1280336081981659,-4.5098424994449715e-10,0.00595687935128808,0.07231993228197098,0.39894726872444153,0.005742967594414949,0.020588550716638565,0.0012882017763331532,0.004944526124745607,-0.2303011119365692,0.007922608405351639
45,random_small,0,none,47,0,0,0,,-1,1.5214169025421143,0,0.7238808870315552,0.008429983630776405,0.09999988973140717,-1.5160222053527832,0.12800796329975128,1.5544371345654895e-10,0.006215076893568039,0.07697266340255737,0.39782142639160156,0.005875023547559977,0.024237873032689095,-0.0069725122302770615,0.002516367705538869,-0.24409550428390503,0.014460915699601173
46,random_small,0,none,48,0,0,0,,-1,1.5211119651794434,0,0.693564236164093,0.010989821515977383,0.09999988973140717,-1.5157184600830078,0.12798231840133667,-4.510487816578035e-10,0.00678629707545042,0.0818779468536377,0.3965391218662262,0.006663430016487837,0.024532442912459373,-0.004311165306717157,0.0036838026717305183,-0.25909140706062317,0.011440216563642025
47,random_small,0,none,49,0,0,0,,-1,1.5208078622817993,0,0.663253664970398,0.013549147173762321,0.09999989718198776,-1.5154153108596802,0.12795670330524445,-2.183733860405823e-09,0.007486067712306976,0.08596917241811752,0.3956465721130371,0.009047960862517357,0.024679729714989662,-9.813758515520021e-05,0.005470512434840202,-0.27257972955703735,0.007109685800969601
48,random_small,0,none,50,0,0,0,,-1,1.5205031633377075,0,0.6329491138458252,0.016107959672808647,0.09999989718198776,-1.5151116847991943,0.1279311180114746,-2.1837536223756615e-09,0.007590427994728088,0.08943943679332733,0.39453139901161194,0.005902604199945927,0.030366888269782066,-0.00937686301767826,0.00048328281263820827,-0.28049883246421814,0.013818764127790928
49,random_small,0,none,51,0,0,0,,-1,1.5201990604400635,0,0.6026507019996643,0.018666261807084084,0.09999990463256836,-1.5148087739944458,0.12790560722351074,-4.5102102608218786e-10,0.008243074640631676,0.09334364533424377,0.3932552933692932,0.006968790665268898,0.03302275016903877,-0.011163909919559956,-0.00019835252896882594,-0.2931605577468872,0.01436278223991394
50,random_small,0,none,52,0,0,0,,-1,1.5198949575424194,0,0.5723583102226257,0.02122405357658863,0.09999991208314896,-1.5145056247711182,0.12787997722625732,3.853440944112663e-08,0.00893291924148798,0.09766577184200287,0.39191704988479614,0.00709899328649044,0.03587709367275238,-0.01277617271989584,-0.0010294517269358039,-0.3060857057571411,0.014538087882101536
51,random_small,0,none,53,0,0,0,,-1,1.519590973854065,0,0.5420719385147095,0.02378133498132229,0.09999991208314896,-1.5142028331756592,0.12785442173480988,-4.5101691825699675e-10,0.009862628765404224,0.10229863971471786,0.3906448483467102,0.004890725016593933,0.03736613690853119,-0.009272962808609009,0.00021447277686093003,-0.3173188269138336,0.010232552886009216
52,random_small,0,none,54,0,0,0,,-1,1.5192869901657104,0,0.5117917060852051,0.02633810229599476,0.09999991953372955,-1.513899803161621,0.12782885134220123,3.8534416546553985e-08,0.010984698310494423,0.10729175806045532,0.3891800045967102,0.002657390432432294,0.03895740211009979,-0.0072891563177108765,0.0018900635186582804,-0.32969528436660767,0.007243304513394833
53,random_small,0,none,55,0,0,0,,-1,1.5189828872680664,0,0.481517493724823,0.02889435924589634,0.09999991953372955,-1.5135968923568726,0.1278032660484314,-4.5101300472083494e-10,0.011915219016373158,0.11261147260665894,0.3872845470905304,0.002599134109914303,0.042268816381692886,-0.008083522319793701,0.0014149933122098446,-0.34555238485336304,0.00616863090544939
54,random_small,0,none,56,0,0,0,,-1,1.518679141998291,0,0.4512493312358856,0.03145010396838188,0.09999993443489075,-1.5132942199707031,0.12777774035930634,3.680196769551003e-08,0.013055097311735153,0.1182708814740181,0.38507041335105896,0.004223797004669905,0.04528789222240448,-0.012311967089772224,0.0017792127327993512,-0.36439839005470276,0.00793495960533619
55,random_small,0,none,57,0,0,0,,-1,1.5183751583099365,0,0.42098721861839294,0.034005340188741684,0.09999993443489075,-1.512991189956665,0.1277521848678589,3.8534416546553985e-08,0.014714067801833153,0.12411855161190033,0.3836052417755127,0.005216184537857771,0.04603107273578644,-0.014514475129544735,0.005388145800679922,-0.3813037872314453,0.00889076478779316
56,random_small,0,none,58,0,0,0,,-1,1.518071174621582,0,0.39073118567466736,0.0365600623190403,0.09999993443489075,-1.5126882791519165,0.12772659957408905,-4.510227191723004e-10,0.01682182215154171,0.12948238849639893,0.3820264935493469,0.002778043271973729,0.04482234641909599,-0.015495285391807556,0.012282120063900948,-0.3942350149154663,0.008945992216467857
57,random_small,0,none,59,0,0,0,,-1,1.5177677869796753,0,0.3604812026023865,0.039114274084568024,0.09999993443489075,-1.5123860836029053,0.1277010142803192,-4.510159190562746e-10,0.018765073269605637,0.13507893681526184,0.3805471956729889,0.00022998721397016197,0.046721991151571274,-0.024980416521430016,0.014726560562849045,-0.40776416659355164,0.015666699036955833
58,random_small,0,none,60,0,0,0,,-1,1.5174641609191895,0,0.3302372395992279,0.04166797548532486,0.09999994188547134,-1.5120835304260254,0.1276753842830658,1.554233686196227e-10,0.020933352410793304,0.14073151350021362,0.3788609206676483,-0.0024427068419754505,0.04818229749798775,-0.031908068805933,0.018365656957030296,-0.42149218916893005,0.019725851714611053
59,random_small,0,none,61,0,0,0,,-1,1.5171607732772827,0,0.2999993562698364,0.04422116279602051,0.09999994188547134,-1.5117812156677246,0.12764988839626312,-4.51000292667203e-10,0.023541780188679695,0.14635783433914185,0.3770994246006012,-0.0059761591255664825,0.047433678060770035,-0.032389428466558456,0.025919931009411812,-0.4341312050819397,0.01831052638590336
60,random_small,0,none,62,0,0,0,,-1,1.5168577432632446,0,0.26976752281188965,0.046773843467235565,0.09999995678663254,-1.511479139328003,0.12762436270713806,3.9141056618063885e-08,0.02608022466301918,0.1520664393901825,0.37539297342300415,-0.01098420936614275,0.04877942427992821,-0.0365469716489315,0.030802274122834206,-0.4457066059112549,0.01933346502482891
61,random_small,0,none,63,0,0,0,,-1,1.5165538787841797,0,0.23954172432422638,0.049326010048389435,0.09999996423721313,-1.5111764669418335,0.1275988668203354,2.9904489906584786e-07,0.02786666341125965,0.15794222056865692,0.3735736906528473,-0.01715940423309803,0.055866748094558716,-0.046721912920475006,0.02749580517411232,-0.45714235305786133,0.02360439859330654
62,random_small,0,none,64,0,0,0,,-1,1.5162501335144043,0,0.209321990609169,0.051877669990062714,0.09999995678663254,-1.510873794555664,0.12757334113121033,2.2679168409922568e-07,0.029961777850985527,0.16402918100357056,0.37157851457595825,-0.02298640087246895,0.06159752979874611,-0.04850733280181885,0.027545588091015816,-0.4690078794956207,0.02023453451693058
63,random_small,0,none,65,1,0,0,left_ankle_pitch_link,5,1.5159471035003662,0,0.17910829186439514,0.0544288195669651,0.09999996423721313,-1.5105717182159424,0.12754780054092407,2.6638369376996707e-07,0.031674522906541824,0.17031127214431763,0.36948269605636597,-0.02981526590883732,0.0701458603143692,-0.05029268190264702,0.024110713973641396,-0.48053523898124695,0.01564791612327099
