step,mode,term_reason,term_reason_name,episode_length,ball_contact,ball_blocked,goal_conceded,contact_body_name,contact_body_idx,ball_speed,ball_shot_level,ball_pos_x,ball_pos_y,ball_pos_z,ball_lin_vel_x,ball_lin_vel_y,ball_lin_vel_z,base_pos_x,base_pos_y,base_pos_z,base_rpy_x,base_rpy_y,base_rpy_z,dof_pos_0_x,dof_pos_0_y,dof_pos_0_z
0,zero_action,0,none,2,0,0,0,,-1,1.6266376972198486,0,1.5211858749389648,0.045429717749357224,0.14311160147190094,-1.5455347299575806,-0.13554492592811584,-0.48877382278442383,0.0017755695153027773,0.0002583470777608454,0.4223489463329315,0.0028131473809480667,-0.005913765635341406,0.00025741031276993454,0.013926045037806034,-0.002616780810058117,0.0009124174830503762
1,zero_action,0,none,3,0,0,0,,-1,1.6956146955490112,0,1.4902790784835815,0.04271915927529335,0.13088509440422058,-1.545225739479065,-0.13551780581474304,-0.6848514676094055,0.0018786292057484388,0.00042835684143938124,0.43476682901382446,0.002309694653376937,-0.003984903916716576,0.0004918605554848909,0.011983131058514118,-0.004285501781851053,-0.000776455330196768
2,zero_action,0,none,4,0,0,0,,-1,1.7835617065429688,0,1.4593783617019653,0.040009137243032455,0.11473752558231354,-1.5449167490005493,-0.13549068570137024,-0.8808898329734802,0.0015592294512316585,0.0005164248868823051,0.44319915771484375,0.0010629897005856037,-0.000679888587910682,0.0007102920208126307,0.006985255517065525,-0.004558885935693979,-0.0012622514041140676
3,zero_action,0,none,5,0,0,0,,-1,1.1250609159469604,0,1.4307093620300293,0.03749484568834305,0.10001201927661896,-1.0944585800170898,-0.0959850400686264,0.24230000376701355,0.0010241130366921425,0.0005425521521829069,0.447676420211792,-0.000546190538443625,0.0027789536397904158,0.0008954484947025776,0.001654009334743023,-0.004052699077874422,-0.0007916212198324502
4,zero_action,0,none,6,0,0,0,,-1,1.0994057655334473,0,1.4088228940963745,0.03557538613677025,0.10240516066551208,-1.0942397117614746,-0.09596584737300873,0.04607604444026947,0.00039119040593504906,0.0005243119667284191,0.4482119679450989,-0.0022113656159490347,0.0058557516895234585,0.0009951700922101736,-0.0029199656564742327,-0.003245793515816331,-8.526767487637699e-05
5,zero_action,0,none,7,0,0,0,,-1,1.108431339263916,0,1.386940836906433,0.03365631029009819,0.10087431222200394,-1.0940208435058594,-0.09594665467739105,-0.15010865032672882,-0.00028116267640143633,0.00047546453424729407,0.44481366872787476,-0.0037318153772503138,0.00837097130715847,0.0010282527655363083,-0.006974066141992807,-0.002454428467899561,0.0003074397682212293
6,zero_action,0,none,8,0,0,0,,-1,1.1068614721298218,0,1.3648958206176758,0.03172294795513153,0.0999998077750206,-1.1026291847229004,-0.09670160710811615,3.853387653407481e-08,-0.0008773203007876873,0.00040642503881826997,0.4374786913394928,-0.005003827624022961,0.010002718307077885,0.0010167229920625687,-0.009567582979798317,-0.0018509633373469114,0.0006567006348632276
7,zero_action,0,none,9,0,0,0,,-1,1.106640100479126,0,1.3428460359573364,0.029789160937070847,0.0999998077750206,-1.1024086475372314,-0.09668225049972534,-4.5098019763045727e-10,-0.0013357638381421566,0.0003237115452066064,0.4262070059776306,-0.006021476816385984,0.010668893344700336,0.0009718267829157412,-0.010335862636566162,-0.0014714447315782309,0.000888621318154037
8,zero_action,0,none,10,0,0,0,,-1,1.1064187288284302,0,1.3208006620407104,0.027855755761265755,0.0999998077750206,-1.1021881103515625,-0.09666290879249573,-4.51036541448957e-10,-0.0016343911411240697,0.0002313223376404494,0.4110005795955658,-0.006831006612628698,0.01044774241745472,0.0009169090772047639,-0.00933706946671009,-0.0012867830228060484,0.0009654253371991217
9,zero_action,0,none,11,0,0,0,,-1,1.106197476387024,0,1.2987596988677979,0.025922736153006554,0.0999998077750206,-1.101967692375183,-0.09664354473352432,-4.510068984941995e-10,-0.0013774203835055232,0.0006681033410131931,0.41032862663269043,-0.000397437164792791,0.007606863509863615,0.000502175884321332,-0.007023561745882034,-0.013032049871981144,0.0028753220103681087
