step,mode,term_reason,term_reason_name,episode_length,ball_contact,ball_blocked,goal_conceded,contact_body_name,contact_body_idx,ball_speed,ball_shot_level,ball_pos_x,ball_pos_y,ball_pos_z,ball_lin_vel_x,ball_lin_vel_y,ball_lin_vel_z,base_pos_x,base_pos_y,base_pos_z,base_rpy_x,base_rpy_y,base_rpy_z,dof_pos_0_x,dof_pos_0_y,dof_pos_0_z
0,random_small,0,none,2,0,0,0,,-1,2.334442377090454,1,2.18799090385437,0.03252799063920975,0.2948267161846161,-2.319241523742676,0.13649863004684448,-0.2282707244157791,0.0018255971372127533,0.00022979114146437496,0.42240551114082336,0.0029053310863673687,-0.006534745451062918,-0.002827010815963149,0.015693066641688347,-0.0023121521808207035,0.004313972312957048
1,random_small,0,none,3,0,0,0,,-1,2.361243724822998,1,2.1416118144989014,0.035257622599601746,0.2878096103668213,-2.3187780380249023,0.13647133111953735,-0.42440053820610046,0.002336122328415513,0.00047372112749144435,0.43487468361854553,0.0032330146059393883,-0.006751233711838722,-0.004798232112079859,0.017943670973181725,-0.00511070666834712,0.0022022672928869724
2,random_small,0,none,4,0,0,0,,-1,2.4037904739379883,1,2.0952420234680176,0.03798670694231987,0.27687039971351624,-2.318314552307129,0.13644403219223022,-0.620491087436676,0.002204245189204812,0.000647038861643523,0.4433794915676117,0.0018736409256234765,-0.00455170962959528,-0.0028817434795200825,0.010626371949911118,-0.005570537410676479,-0.011209661141037941
3,random_small,0,none,5,0,0,0,,-1,2.461256742477417,1,2.0488815307617188,0.04071524739265442,0.262009859085083,-2.3178510665893555,0.1364167332649231,-0.8165423274040222,0.0019766483455896378,0.0007048116531223059,0.4479086995124817,-0.0014113254146650434,-0.0021862119901925325,-0.004461538977921009,0.007184183690696955,-0.003078646957874298,-0.012628616765141487
4,random_small,0,none,6,0,0,0,,-1,2.5326180458068848,1,2.002530336380005,0.043443240225315094,0.24322879314422607,-2.317387580871582,0.13638943433761597,-1.012554407119751,0.001720045111142099,0.0008442777907475829,0.4484861195087433,-0.0019810230005532503,-0.0001936793705681339,-0.004218992777168751,0.0041643534786999226,-0.004675418604165316,-0.017882805317640305
5,random_small,0,none,7,0,0,0,,-1,2.6167290210723877,1,1.9561883211135864,0.046170685440301895,0.2205279916524887,-2.3169240951538086,0.13636213541030884,-1.2085273265838623,0.0015197810716927052,0.0009359010145999491,0.4451185166835785,-0.002828882308676839,0.0010998580837622285,-0.007562282960861921,0.007349607069045305,-0.005582040641456842,-0.014491891488432884
6,random_small,0,none,8,0,0,0,,-1,2.712395191192627,1,1.9098557233810425,0.04889759048819542,0.1939082145690918,-2.316460609436035,0.1363348364830017,-1.4044609069824219,0.001008598948828876,0.0009370085899718106,0.43782249093055725,-0.005233121104538441,0.003398284548893571,-0.00817854329943657,0.006439074408262968,-0.00446757348254323,-0.012654849328100681
7,random_small,0,none,9,0,0,0,,-1,2.818432092666626,1,1.8635321855545044,0.05162394419312477,0.1633702516555786,-2.3159971237182617,0.13630756735801697,-1.6003553867340088,0.00024133326951414347,0.0009415209060534835,0.42660874128341675,-0.006882537622004747,0.006515826098620892,-0.005186749156564474,-7.271118374774233e-05,-0.004229917656630278,-0.017813652753829956
8,random_small,0,none,10,0,0,0,,-1,2.9337077140808105,1,1.8172180652618408,0.054349757730960846,0.12891489267349243,-2.3155336380004883,0.13628032803535461,-1.7962106466293335,-0.0005871874745935202,0.0008405561675317585,0.4114551246166229,-0.009788690134882927,0.009729980491101742,-0.00196214416064322,-0.007519878447055817,-0.0020116630475968122,-0.014170673675835133
9,random_small,0,none,11,0,0,0,,-1,1.6965562105178833,1,1.774263620376587,0.05687783285975456,0.10011298954486847,-1.6334539651870728,0.0961366593837738,0.4482059180736542,-0.00041720224544405937,0.0016931394347921014,0.4098556935787201,0.0013381470926105976,0.007752969395369291,-0.000774396990891546,-0.005829814821481705,-0.0205492302775383,-0.014650093391537666
10,random_small,0,none,12,0,0,0,,-1,1.655239462852478,1,1.7415986061096191,0.05880032852292061,0.10662373900413513,-1.6331273317337036,0.09611743688583374,0.2519407868385315,-0.0003757472150027752,0.0022371700033545494,0.4106092154979706,-5.5172829888761044e-05,0.007705262862145901,-0.003335867775604129,-0.006229917053133249,-0.024323781952261925,-0.006863129325211048
11,random_small,0,none,13,0,0,0,,-1,1.6365748643875122,1,1.7089401483535767,0.060722436755895615,0.10920967161655426,-1.6328006982803345,0.09609821438789368,0.055714916437864304,-4.645856097340584e-05,0.0027131568640470505,0.4081164598464966,0.0005122044240124524,0.007072459906339645,-0.0031809101346880198,-0.004652014467865229,-0.027502473443746567,-0.0015894102398306131
12,random_small,0,none,14,0,0,0,,-1,1.641321063041687,1,1.6762882471084595,0.06264416128396988,0.10787157714366913,-1.6324740648269653,0.09607899188995361,-0.1404716968536377,0.00021312455646693707,0.003387900535017252,0.40832817554473877,0.0003969773242715746,0.006324803922325373,-0.002421241719275713,-0.005414349492639303,-0.02952755056321621,-0.0025941880885511637
13,random_small,0,none,15,0,0,0,,-1,1.669264793395996,1,1.6436429023742676,0.0645655021071434,0.10261023789644241,-1.6321474313735962,0.09605976939201355,-0.3366190493106842,0.00032598606776446104,0.004167705308645964,0.40830326080322266,-4.148531661485322e-05,0.006445657927542925,-0.003495925571769476,-0.003452858654782176,-0.031260814517736435,-0.000922062317840755
14,random_small,0,none,16,0,0,0,,-1,1.6548268795013428,1,1.6106992959976196,0.06650438159704208,0.09999977797269821,-1.651968240737915,0.09722630679607391,3.853617158711131e-08,0.00022654025815427303,0.005070349667221308,0.40827786922454834,-6.386983295669779e-05,0.007370097562670708,-0.00568161578848958,-0.004183951299637556,-0.03377916291356087,0.000994443311356008
15,random_small,0,none,17,0,0,0,,-1,1.6544958353042603,1,1.5776640176773071,0.06844866275787354,0.09999977797269821,-1.6516377925872803,0.09720684587955475,3.8534420099267663e-08,0.00022196327336132526,0.006061161868274212,0.408244252204895,-8.069768955465406e-05,0.007531133480370045,-0.006114496383816004,-0.004272399935871363,-0.03655256703495979,0.001386962947435677
