step,mode,term_reason,term_reason_name,episode_length,ball_contact,ball_blocked,goal_conceded,contact_body_name,contact_body_idx,ball_speed,ball_shot_level,ball_pos_x,ball_pos_y,ball_pos_z,ball_lin_vel_x,ball_lin_vel_y,ball_lin_vel_z,base_pos_x,base_pos_y,base_pos_z,base_rpy_x,base_rpy_y,base_rpy_z,dof_pos_0_x,dof_pos_0_y,dof_pos_0_z
0,scripted_block,0,none,2,0,0,0,,-1,2.0535874366760254,1,1.6538143157958984,1.599112874828279e-05,0.2880859375,-2.047476053237915,-0.0924796536564827,-0.12849563360214233,0.0018379194661974907,0.00018498391727916896,0.4224053919315338,0.002793192397803068,-0.006550214719027281,0.0002181041636504233,0.01467882376164198,-0.002002186141908169,0.0012252264423295856
1,scripted_block,0,none,3,0,0,0,,-1,2.074711322784424,1,1.6128699779510498,-0.0018333705374971032,0.2830640971660614,-2.0470669269561768,-0.09246114641427994,-0.32464542984962463,0.002144227735698223,0.00032795825973153114,0.4348835349082947,0.0025162186939269304,-0.005773947574198246,0.00039901575655676425,0.014703968539834023,-0.00365353818051517,-0.00014153591473586857
2,scripted_block,0,none,4,0,0,0,,-1,2.1138923168182373,1,1.5719337463378906,-0.003682361915707588,0.2741197347640991,-2.0466578006744385,-0.09244263917207718,-0.5207559466362,0.0021079215221107006,0.0004153842164669186,0.44337737560272217,0.0016745633911341429,-0.0036732186563313007,0.0005489499308168888,0.011911442503333092,-0.004335814621299505,-0.0009083248442038894
3,scripted_block,0,none,5,0,0,0,,-1,2.17014217376709,1,1.5310057401657104,-0.005530983675271273,0.2612536549568176,-2.0462486743927,-0.09242416173219681,-0.7168272137641907,0.0018659491324797273,0.0004573713813442737,0.4479101002216339,0.0004860214830841869,-0.0010897628962993622,0.0006999035249464214,0.008138040080666542,-0.004376483615487814,-0.0010451810667291284
4,scripted_block,0,none,6,0,0,0,,-1,2.24216628074646,1,1.4900858402252197,-0.007379235699772835,0.2444666475057602,-2.045839548110962,-0.09240568429231644,-0.9128591418266296,0.0014940184773877263,0.0004628839378710836,0.4484947919845581,-0.0008782711229287088,0.001570073887705803,0.000847187708131969,0.004195494577288628,-0.004031231161206961,-0.0008515018853358924
5,scripted_block,0,none,7,0,0,0,,-1,2.328491687774658,1,1.449174165725708,-0.009227118454873562,0.2237595021724701,-2.0454304218292236,-0.09238720685243607,-1.1088519096374512,0.001044983509927988,0.0004393645212985575,0.44513893127441406,-0.0022947213146835566,0.00407946202903986,0.0009863263694569468,0.0004974696785211563,-0.0034893988631665707,-0.0005417765933088958
6,scripted_block,0,none,8,0,0,0,,-1,2.4275834560394287,1,1.4082707166671753,-0.011074631474912167,0.1991329789161682,-2.0450212955474854,-0.0923687294125557,-1.3048055171966553,0.0009594867005944252,0.00039341452065855265,0.437859445810318,-0.003680321853607893,0.0042575653642416,0.00116937595885247,5.920523835811764e-05,-0.002881284337490797,0.0004394734569359571
7,scripted_block,0,none,9,0,0,0,,-1,2.537937641143799,1,1.367375373840332,-0.012921774759888649,0.17058786749839783,-2.044612169265747,-0.09235025197267532,-1.5007199048995972,0.0014955662190914154,0.0003302983532194048,0.42665475606918335,-0.004990262445062399,0.0009547832305543125,0.0013987704878672957,0.0056947884149849415,-0.002289698924869299,0.0017995962407439947
8,scripted_block,0,none,10,0,0,0,,-1,2.6581435203552246,1,1.3264882564544678,-0.014768548309803009,0.1381249725818634,-2.044203042984009,-0.09233177453279495,-1.6965950727462769,0.0025706461165100336,0.00025407623616047204,0.41152462363243103,-0.006200952455401421,-0.005372918676584959,0.0016763923922553658,0.016435034573078156,-0.001800216268748045,0.0027590529061853886
9,scripted_block,0,none,11,0,0,0,,-1,2.7869179248809814,1,1.285609245300293,-0.01661495305597782,0.10174505412578583,-2.0437939167022705,-0.09231329709291458,-1.8924311399459839,0.0062233624048531055,0.0007117154891602695,0.4095091223716736,-0.00039104989264160395,-0.023624537512660027,0.0017522311536595225,0.05539381876587868,-0.012673849239945412,0.013357117772102356
10,scripted_block,0,none,12,0,0,0,,-1,1.4573864936828613,1,1.2569763660430908,-0.017908232286572456,0.1054726243019104,-1.4268664121627808,-0.06444815546274185,0.28961044549942017,0.00936022587120533,0.0009234059834852815,0.4097902178764343,-0.00345353945158422,-0.03894197568297386,0.0034512211568653584,0.07580658793449402,-0.014239289797842503,0.009973040781915188
11,scripted_block,0,none,13,0,0,0,,-1,1.4310849905014038,1,1.228442668914795,-0.01919703371822834,0.10881184786558151,-1.4265809059143066,-0.06443525105714798,0.09337703138589859,0.0130493538454175,0.0012369710020720959,0.4080827832221985,-0.00013364991173148155,-0.05602671205997467,0.0031401540618389845,0.1063956618309021,-0.02009686455130577,0.018701709806919098
12,scripted_block,0,none,14,0,0,0,,-1,1.431447148323059,1,1.1999146938323975,-0.02048557624220848,0.10822690278291702,-1.4262957572937012,-0.0644223764538765,-0.1028171181678772,0.017061304301023483,0.0015654274029657245,0.4078057110309601,-0.00010569379810476676,-0.07447807490825653,0.0030043122824281454,0.13831590116024017,-0.02238408662378788,0.029493719339370728
13,scripted_block,0,none,15,0,0,0,,-1,1.458437204360962,1,1.1713924407958984,-0.021773863583803177,0.10371856391429901,-1.4260106086730957,-0.06440950185060501,-0.2989720106124878,0.020919598639011383,0.0019293474033474922,0.4075688123703003,-7.206799637060612e-05,-0.09239610284566879,0.0022950966376811266,0.16646768152713776,-0.02499922178685665,0.03947378322482109
14,scripted_block,0,none,16,0,0,0,,-1,1.4598764181137085,1,1.1425427198410034,-0.023076940327882767,0.09999983012676239,-1.4583895206451416,-0.06587197631597519,-2.315331482094507e-09,0.02477411925792694,0.0023384822998195887,0.4073343276977539,-6.104997737566009e-05,-0.1104225292801857,0.0015526204369962215,0.1934499740600586,-0.027959691360592842,0.049047719687223434
15,scripted_block,0,none,17,0,0,0,,-1,1.4595876932144165,1,1.113378643989563,-0.024394217878580093,0.09999983757734299,-1.4581011533737183,-0.06585896015167236,1.5545101317293586e-10,0.02864142879843712,0.002796549815684557,0.40708690881729126,-6.968146044528112e-05,-0.12863272428512573,0.0007917683687992394,0.21968820691108704,-0.03126915544271469,0.05833731219172478
