step,mode,term_reason,term_reason_name,episode_length,ball_contact,ball_blocked,goal_conceded,contact_body_name,contact_body_idx,ball_speed,ball_shot_level,ball_pos_x,ball_pos_y,ball_pos_z,ball_lin_vel_x,ball_lin_vel_y,ball_lin_vel_z,base_pos_x,base_pos_y,base_pos_z,base_rpy_x,base_rpy_y,base_rpy_z,dof_pos_0_x,dof_pos_0_y,dof_pos_0_z
0,zero_action,0,none,2,0,0,0,,-1,2.0805399417877197,1,2.034201145172119,0.026309644803404808,0.30742180347442627,-2.062262535095215,0.15610024333000183,-0.2266104370355606,0.0018379194661974907,0.00018498391727916896,0.4224053919315338,0.002793192397803068,-0.006550214719027281,0.0002181041636504233,0.01467882376164198,-0.002002186141908169,0.0012252264423295856
1,zero_action,0,none,3,0,0,0,,-1,2.1105191707611084,1,1.9929611682891846,0.029431259259581566,0.30043792724609375,-2.06184983253479,0.15606901049613953,-0.4227405786514282,0.002144227735698223,0.00032795825973153114,0.4348835349082947,0.0025162186939269304,-0.005773947574198246,0.00039901575655676425,0.014703968539834023,-0.00365353818051517,-0.00014153591473586857
2,zero_action,0,none,4,0,0,0,,-1,2.157968044281006,1,1.9517292976379395,0.03255224972963333,0.2895319163799286,-2.0614378452301025,0.15603777766227722,-0.61883145570755,0.0021079215221107006,0.0004153842164669186,0.44337737560272217,0.0016745633911341429,-0.0036732186563313007,0.0005489499308168888,0.011911442503333092,-0.004335814621299505,-0.0009083248442038894
3,zero_action,0,none,5,0,0,0,,-1,2.2217559814453125,1,1.9105056524276733,0.035672612488269806,0.27470457553863525,-2.061025857925415,0.15600654482841492,-0.8148830533027649,0.0018659491324797273,0.0004573713813442737,0.4479101002216339,0.0004860214830841869,-0.0010897628962993622,0.0006999035249464214,0.008138040080666542,-0.004376483615487814,-0.0010451810667291284
4,zero_action,0,none,6,0,0,0,,-1,2.3005146980285645,1,1.8692903518676758,0.03879235312342644,0.2559567093849182,-2.0606138706207275,0.1559753268957138,-1.0108954906463623,0.0014940184773877263,0.0004628839378710836,0.4484947919845581,-0.0008782711229287088,0.001570073887705803,0.000847187708131969,0.004195494577288628,-0.004031231161206961,-0.0008515018853358924
5,zero_action,0,none,7,0,0,0,,-1,2.392756223678589,1,1.8280832767486572,0.041911471635103226,0.23328907787799835,-2.06020188331604,0.15594415366649628,-1.2068686485290527,0.001044983509927988,0.0004393645212985575,0.44513893127441406,-0.0022947213146835566,0.00407946202903986,0.0009863263694569468,0.0004974696785211563,-0.0034893988631665707,-0.0005417765933088958
6,zero_action,0,none,8,0,0,0,,-1,2.4969778060913086,1,1.7868844270706177,0.04502996429800987,0.20670247077941895,-2.0597898960113525,0.15591298043727875,-1.402802586555481,0.0005502646090462804,0.00039257865864783525,0.43784835934638977,-0.0037022887263447046,0.006330428645014763,0.0010370505042374134,-0.002781399292871356,-0.0028598164208233356,-0.0002057988167507574
7,zero_action,0,none,9,0,0,0,,-1,2.61173677444458,1,1.7456936836242676,0.04814783111214638,0.17619767785072327,-2.059377908706665,0.15588180720806122,-1.598697304725647,5.2014365792274475e-05,0.00032828078838065267,0.426626056432724,-0.0050079189240932465,0.008187124505639076,0.0012000780552625656,-0.005816004239022732,-0.002275556093081832,-2.2836533389636315e-05
8,zero_action,0,none,10,0,0,0,,-1,2.73569917678833,1,1.704511284828186,0.05126507952809334,0.1417754590511322,-2.0589659214019775,0.1558506339788437,-1.7945529222488403,-0.00040277105290442705,0.00025017710868269205,0.41147175431251526,-0.006211698986589909,0.00952411349862814,0.0013523114612326026,-0.007965252734720707,-0.0017569776391610503,0.00023713777773082256
9,zero_action,0,none,11,0,0,0,,-1,2.867663621902466,1,1.6633371114730835,0.05438170209527016,0.10343663394451141,-2.05855393409729,0.15581946074962616,-1.990369439125061,-0.00031589146237820387,0.0007419090834446251,0.41000089049339294,0.001755799283273518,0.007196218706667423,0.0009088294464163482,-0.006298551335930824,-0.014806018210947514,0.0017516578081995249
10,zero_action,0,none,12,0,0,0,,-1,1.467444896697998,1,1.6346074342727661,0.0565563440322876,0.10618370026350021,-1.4298808574676514,0.10823291540145874,0.31164252758026123,-8.868379518389702e-05,0.0009920416632667184,0.4110722541809082,0.0016006884397938848,0.005747427698224783,0.0012217636685818434,-0.005805332213640213,-0.019794128835201263,0.0016082769725471735
11,zero_action,0,none,13,0,0,0,,-1,1.4383217096328735,1,1.6060131788253784,0.05872073024511337,0.10996352136135101,-1.4295947551727295,0.10821127891540527,0.11540468782186508,0.0001387830125167966,0.0011213038815185428,0.40826278924942017,-0.0005571197834797204,0.005057154688984156,0.0017353211296722293,-0.004982101731002331,-0.02174380235373974,0.0012775040231645107
12,zero_action,0,none,14,0,0,0,,-1,1.435672640800476,1,1.5774246454238892,0.060884684324264526,0.10981906950473785,-1.4293086528778076,0.1081896424293518,-0.08079385757446289,0.0005119089037179947,0.0014128207694739103,0.40836021304130554,-2.0830157154705375e-05,0.003424030728638172,0.0018325458513572812,-0.002275874139741063,-0.02325933612883091,0.002085484564304352
13,zero_action,0,none,15,0,0,0,,-1,1.459626317024231,1,1.5488418340682983,0.06304819881916046,0.1057511419057846,-1.4290225505828857,0.10816800594329834,-0.27695316076278687,0.0007505381945520639,0.0017419831128790975,0.40836814045906067,-5.975525709800422e-05,0.0023322035558521748,0.0014161448925733566,-0.00043772481149062514,-0.02415856160223484,0.00311674945987761
14,zero_action,0,none,16,0,0,0,,-1,1.4735785722732544,1,1.5200629234313965,0.06522656977176666,0.09999977797269821,-1.4693752527236938,0.11122242361307144,-6.414833997325786e-09,0.0009386604651808739,0.0021352802868932486,0.4083591401576996,-6.949904491193593e-05,0.001276809605769813,0.0011310974368825555,0.0012347528245300055,-0.02525833062827587,0.003957930952310562
15,zero_action,0,none,17,0,0,0,,-1,1.4728329181671143,1,1.4906880855560303,0.06745005398988724,0.09999978542327881,-1.468631625175476,0.11116612702608109,-4.5099096679379613e-10,0.0010900495108217,0.0025959769263863564,0.4083457589149475,-7.791631651343778e-05,0.00013657893578056246,0.0009828840848058462,0.0028612310998141766,-0.026547329500317574,0.004648410249501467
16,zero_action,0,none,18,0,0,0,,-1,1.4725381135940552,1,1.4613189697265625,0.0696730986237526,0.0999997928738594,-1.4683376550674438,0.11114387959241867,3.853456931324217e-08,0.0012066209455952048,0.0031280561815947294,0.40832993388175964,-8.833540050545707e-05,-0.0011172088561579585,0.0008901784312911332,0.004489585291594267,-0.028036797419190407,0.005285782739520073
17,zero_action,0,none,19,0,0,0,,-1,1.472243309020996,1,1.4319560527801514,0.07189569622278214,0.0999997928738594,-1.4680438041687012,0.11112165451049805,-4.5103434875848336e-10,0.00129187130369246,0.0037365416064858437,0.40831106901168823,-0.00010067425318993628,-0.0024982059840112925,0.0008173778769560158,0.006152639631181955,-0.02974088303744793,0.005916180554777384
18,zero_action,0,none,20,0,0,0,,-1,1.4719489812850952,1,1.4025988578796387,0.07411785423755646,0.09999980032444,-1.4677501916885376,0.11109938472509384,3.853460128766528e-08,0.0013492581201717257,0.004427731037139893,0.40828877687454224,-0.00011488056043162942,-0.004006849601864815,0.0007493364973925054,0.007862208411097527,-0.031677015125751495,0.006559065543115139
19,zero_action,0,none,21,0,0,0,,-1,1.4716544151306152,1,1.3732473850250244,0.07633956521749496,0.09999980032444,-1.4674564599990845,0.11107716709375381,1.5417895848912622e-09,0.001382138580083847,0.005208922550082207,0.4082620441913605,-0.00013227005547378212,-0.005638533737510443,0.0006752664339728653,0.009627296589314938,-0.033865440636873245,0.007228096015751362
20,zero_action,0,none,22,0,0,0,,-1,1.4713597297668457,1,1.3439021110534668,0.07856082916259766,0.0999998077750206,-1.4671627283096313,0.111054927110672,4.1539016670810724e-10,0.0013930710265412927,0.006088820286095142,0.40823036432266235,-0.00015099014854058623,-0.007382258307188749,0.0005935004446655512,0.011439993977546692,-0.03633129224181175,0.007922357879579067
21,zero_action,0,none,23,0,0,0,,-1,1.471065640449524,1,1.3145625591278076,0.08078165352344513,0.0999998077750206,-1.4668694734573364,0.11103270202875137,-4.510184448136556e-10,0.0013840805040672421,0.00707737123593688,0.4081922471523285,-0.0001720940781524405,-0.009225617162883282,0.0004986792337149382,0.013296929188072681,-0.03910266235470772,0.008646141737699509
22,zero_action,0,none,24,0,0,0,,-1,1.4707714319229126,1,1.2852287292480469,0.08300203084945679,0.0999998152256012,-1.4665759801864624,0.11101049929857254,-2.183716318882034e-09,0.0013559117214754224,0.008185834623873234,0.4081467092037201,-0.00019514469022396952,-0.01115360762923956,0.00038945506094023585,0.015182838775217533,-0.04221129044890404,0.009395897388458252
23,zero_action,0,none,25,0,0,0,,-1,1.47047758102417,1,1.2559009790420532,0.08522196114063263,0.0999998152256012,-1.4662829637527466,0.11098829656839371,-4.5097930945203757e-10,0.001308647682890296,0.009426907636225224,0.40809181332588196,-0.00022136223560664803,-0.013150593265891075,0.0002632310788612813,0.01708138734102249,-0.045692335814237595,0.01016936730593443
24,zero_action,0,none,26,0,0,0,,-1,1.4701828956604004,1,1.2265790700912476,0.08744145184755325,0.09999983012676239,-1.4659892320632935,0.11096605658531189,3.680197480093739e-08,0.001241254503838718,0.010814998298883438,0.4080256521701813,-0.00025126655236817896,-0.015200337395071983,0.00011855933553306386,0.018972529098391533,-0.04958581551909447,0.010961368680000305
25,zero_action,0,none,27,0,0,0,,-1,1.4698888063430786,1,1.1972628831863403,0.08966049551963806,0.09999983012676239,-1.4656959772109985,0.11094388365745544,3.85344307574087e-08,0.001151715638116002,0.012366306968033314,0.40794554352760315,-0.00028449794626794755,-0.017286671325564384,-4.755606278195046e-05,0.02083502523601055,-0.05393792688846588,0.011768785305321217
26,zero_action,0,none,28,0,0,0,,-1,1.4695944786071777,1,1.167952537536621,0.09187909215688705,0.09999983012676239,-1.4654024839401245,0.11092168837785721,-4.5100737033898497e-10,0.0010374689009040594,0.014098930172622204,0.40784865617752075,-0.00032116423244588077,-0.01939682848751545,-0.00023501881514675915,0.022645026445388794,-0.05879904329776764,0.01258507277816534
