step,mode,term_reason,term_reason_name,episode_length,ball_contact,ball_blocked,goal_conceded,contact_body_name,contact_body_idx,ball_speed,ball_pos_x,ball_pos_y,ball_pos_z,ball_lin_vel_x,ball_lin_vel_y,ball_lin_vel_z,base_pos_x,base_pos_y,base_pos_z,base_rpy_x,base_rpy_y,base_rpy_z,dof_pos_0_x,dof_pos_0_y,dof_pos_0_z
0,scripted_block,0,none,2,0,0,0,,-1,2.040544033050537,1.6489121913909912,-0.07203517109155655,0.39341840147972107,-2.0356686115264893,0.1409085988998413,-0.004256210755556822,0.0018379194661974907,0.00018498391727916896,0.4224053919315338,0.002793192397803068,-0.006550214719027281,0.0002181041636504233,0.01467882376164198,-0.002002186141908169,0.0012252264423295856
1,scripted_block,0,none,3,0,0,0,,-1,2.0499534606933594,1.6082038879394531,-0.06921735405921936,0.3908810317516327,-2.035261392593384,0.14088040590286255,-0.20043082535266876,0.002144227735698223,0.00032795825973153114,0.4348835349082947,0.0025162186939269304,-0.005773947574198246,0.00039901575655676425,0.014703968539834023,-0.00365353818051517,-0.00014153591473586857
2,scripted_block,0,none,4,0,0,0,,-1,2.077916145324707,1.5675036907196045,-0.06640009582042694,0.38442063331604004,-2.0348541736602783,0.1408522129058838,-0.396566241979599,0.0021079215221107006,0.0004153842164669186,0.44337737560272217,0.0016745633911341429,-0.0036732186563313007,0.0005489499308168888,0.011911442503333092,-0.004335814621299505,-0.0009083248442038894
3,scripted_block,0,none,5,0,0,0,,-1,2.1236886978149414,1.5268117189407349,-0.06358340382575989,0.37403807044029236,-2.034446954727173,0.14082401990890503,-0.5926623940467834,0.0018659491324797273,0.0004573713813442737,0.4479101002216339,0.0004860214830841869,-0.0010897628962993622,0.0006999035249464214,0.008138040080666542,-0.004376483615487814,-0.0010451810667291284
4,scripted_block,0,none,6,0,0,0,,-1,2.1861424446105957,1.4861278533935547,-0.0607672743499279,0.35973402857780457,-2.0340397357940674,0.14079582691192627,-0.7887191772460938,0.0014940184773877263,0.0004628839378710836,0.4484947919845581,-0.0008782711229287088,0.001570073887705803,0.000847187708131969,0.004195494577288628,-0.004031231161206961,-0.0008515018853358924
5,scripted_block,0,none,7,0,0,0,,-1,2.2638866901397705,1.445452094078064,-0.05795171111822128,0.3415094017982483,-2.033632516860962,0.1407676786184311,-0.9847368001937866,0.0013771663652732968,0.0004396972944959998,0.4451497495174408,-0.002293745754286647,0.0023809790145605803,0.0010238642571493983,0.00280863419175148,-0.003492640797048807,1.542893733130768e-05
6,scripted_block,0,none,8,0,0,0,,-1,2.355398416519165,1.4047845602035522,-0.05513671040534973,0.31936487555503845,-2.0332255363464355,0.1407395452260971,-1.1807152032852173,0.0017551014898344874,0.00039418667438440025,0.4378761649131775,-0.003680969588458538,0.00026103894924744964,0.0012332071783021092,0.006517478264868259,-0.002887934911996126,0.0012539675226435065
7,scripted_block,0,none,9,0,0,0,,-1,2.459132194519043,1.36412513256073,-0.05232226848602295,0.2933012545108795,-2.0328192710876465,0.14071141183376312,-1.3766543865203857,0.0025861719623208046,0.0003314372734166682,0.42667514085769653,-0.00499199191108346,-0.004533522762358189,0.001480580074712634,0.014733337797224522,-0.0023222859017550945,0.0021913652308285236
8,scripted_block,0,none,10,0,0,0,,-1,2.5736007690429688,1.3234738111495972,-0.04950839281082153,0.26331934332847595,-2.0324130058288574,0.14068327844142914,-1.572554349899292,0.0038246256299316883,0.00025552776060067117,0.41154688596725464,-0.0062029119580984116,-0.011710749939084053,0.0017697347793728113,0.026894206181168556,-0.0018884879536926746,0.002737616654485464
9,scripted_block,0,none,11,0,0,0,,-1,2.697429895401001,1.2828305959701538,-0.046695079654455185,0.22941994667053223,-2.0320067405700684,0.14065514504909515,-1.7684152126312256,0.00829627551138401,0.0007301937439478934,0.40918177366256714,-0.0010788325453177094,-0.03328828886151314,0.0014762823702767491,0.07722806930541992,-0.0123208649456501,0.015643715858459473
