step,mode,term_reason,term_reason_name,episode_length,ball_contact,ball_blocked,goal_conceded,contact_body_name,contact_body_idx,ball_speed,ball_pos_x,ball_pos_y,ball_pos_z,ball_lin_vel_x,ball_lin_vel_y,ball_lin_vel_z,base_pos_x,base_pos_y,base_pos_z,base_rpy_x,base_rpy_y,base_rpy_z,dof_pos_0_x,dof_pos_0_y,dof_pos_0_z
0,zero_action,0,none,2,0,0,0,,-1,2.3822152614593506,2.2540345191955566,-0.06353005021810532,0.512268602848053,-2.3165547847747803,0.13151982426643372,-0.5396537780761719,0.0018379194661974907,0.00018498391727916896,0.4224053919315338,0.002793192397803068,-0.006550214719027281,0.0002181041636504233,0.01467882376164198,-0.002002186141908169,0.0012252264423295856
1,zero_action,0,none,3,0,0,0,,-1,2.4336915016174316,2.207709312438965,-0.06089998409152031,0.49902456998825073,-2.316091299057007,0.13149353861808777,-0.735721230506897,0.002144227735698223,0.00032795825973153114,0.4348835349082947,0.0025162186939269304,-0.005773947574198246,0.00039901575655676425,0.014703968539834023,-0.00365353818051517,-0.00014153591473586857
2,zero_action,0,none,4,0,0,0,,-1,2.49951434135437,2.161393165588379,-0.058270443230867386,0.4818597435951233,-2.3156278133392334,0.13146725296974182,-0.9317494034767151,0.0021079215221107006,0.0004153842164669186,0.44337737560272217,0.0016745633911341429,-0.0036732186563313007,0.0005489499308168888,0.011911442503333092,-0.004335814621299505,-0.0009083248442038894
3,zero_action,0,none,5,0,0,0,,-1,2.5785763263702393,2.115086317062378,-0.05564142391085625,0.46077483892440796,-2.31516432762146,0.13144096732139587,-1.127738356590271,0.0018659491324797273,0.0004573713813442737,0.4479101002216339,0.0004860214830841869,-0.0010897628962993622,0.0006999035249464214,0.008138040080666542,-0.004376483615487814,-0.0010451810667291284
4,zero_action,0,none,6,0,0,0,,-1,2.6696927547454834,2.068788766860962,-0.05301293358206749,0.4357706606388092,-2.3147008419036865,0.13141468167304993,-1.3236881494522095,0.0014940184773877263,0.0004628839378710836,0.4484947919845581,-0.0008782711229287088,0.001570073887705803,0.000847187708131969,0.004195494577288628,-0.004031231161206961,-0.0008515018853358924
5,zero_action,0,none,7,0,0,0,,-1,2.77166748046875,2.022500514984131,-0.050384968519210815,0.4068479537963867,-2.3142380714416504,0.13138839602470398,-1.5195987224578857,0.001044983509927988,0.0004393645212985575,0.44513893127441406,-0.0022947213146835566,0.00407946202903986,0.0009863263694569468,0.0004974696785211563,-0.0034893988631665707,-0.0005417765933088958
6,zero_action,0,none,8,0,0,0,,-1,2.8833401203155518,1.9762214422225952,-0.047757528722286224,0.37400755286216736,-2.3137755393981934,0.13136211037635803,-1.7154700756072998,0.0005502646090462804,0.00039257865864783525,0.43784835934638977,-0.0037022887263447046,0.006330428645014763,0.0010370505042374134,-0.002781399292871356,-0.0028598164208233356,-0.0002057988167507574
7,zero_action,0,none,9,0,0,0,,-1,3.0036215782165527,1.929951786994934,-0.045130614191293716,0.3372501730918884,-2.3133130073547363,0.13133582472801208,-1.9113023281097412,5.2014365792274475e-05,0.00032828078838065267,0.426626056432724,-0.0050079189240932465,0.008187124505639076,0.0012000780552625656,-0.005816004239022732,-0.002275556093081832,-2.2836533389636315e-05
8,zero_action,0,none,10,0,0,0,,-1,3.1315126419067383,1.8836911916732788,-0.04250422492623329,0.29657667875289917,-2.3128504753112793,0.13130953907966614,-2.107095718383789,-0.00040277105290442705,0.00025017710868269205,0.41147175431251526,-0.006211698986589909,0.00952411349862814,0.0013523114612326026,-0.007965252734720707,-0.0017569776391610503,0.00023713777773082256
9,zero_action,0,none,11,0,0,0,,-1,3.2661125659942627,1.837440013885498,-0.03987836465239525,0.2519877851009369,-2.3123879432678223,0.1312832534313202,-2.3028500080108643,-0.00031589146237820387,0.0007419090834446251,0.41000089049339294,0.001755799283273518,0.007196218706667423,0.0009088294464163482,-0.006298551335930824,-0.014806018210947514,0.0017516578081995249
