step,lf_wx,lf_wy,lf_wz,rf_wx,rf_wy,rf_wz,foot_sep_y,foot_xy_dist,foot_cross,foot_too_close,cf_lf,cf_rf,cf_max_body,cf_max_val,tau_max,pg_z,t_lhp,dp_lhp,t_lhy,dp_lhy,t_lk,dp_lk,t_lap,dp_lap,t_lar,dp_lar,t_rhp,dp_rhp,t_rhy,dp_rhy,t_rk,dp_rk,t_rap,dp_rap,t_rar,dp_rar
0,-10.00526237487793,-4.9088521003723145,0.009262828156352043,-10.005242347717285,-5.08982515335083,0.008901743218302727,-0.18097305297851562,0.18097305297851562,1,0,76.00729370117188,117.17430114746094,12,117.17430114746094,2.351062297821045,-0.9999284744262695,-1.1713535785675049,0.0021308923605829477,-0.8818714618682861,0.00021056435070931911,-0.06848227232694626,0.0026257962454110384,-0.6473024487495422,0.018828876316547394,1.8247509002685547,-0.04422863572835922,-0.8652058839797974,0.0033225417137145996,-0.17622241377830505,-0.0017234132392331958,-0.07504114508628845,-2.676674375834409e-05,-0.7669503688812256,0.020867692306637764,1.9865565299987793,-0.04923807829618454
1,-10.00532341003418,-4.9091925621032715,0.02922867238521576,-10.005295753479004,-5.089933395385742,0.028449703007936478,-0.1807408332824707,0.1807408332824707,1,0,41.22050857543945,61.40900802612305,12,61.40900802612305,2.1135306358337402,-0.9997590184211731,-0.47197645902633667,0.003958421293646097,-0.7021740674972534,0.0026315925642848015,-0.19446323812007904,0.0032053946051746607,-0.9357302188873291,0.024292344227433205,1.4249982833862305,-0.04079839587211609,-0.20293806493282318,0.003683056915178895,-0.43475133180618286,-0.00016947842959780246,0.005224412307143211,0.0013640800025314093,-1.184816598892212,0.027019111439585686,1.9538681507110596,-0.05416715145111084
2,-10.006574630737305,-4.911355972290039,0.0465921089053154,-10.006538391113281,-5.092413425445557,0.044676389545202255,-0.18105745315551758,0.18105745315551758,1,0,0.0,0.0,0,0.0,18.22478485107422,-0.999496340751648,-1.2717400789260864,-0.009833477437496185,-9.627758026123047,-0.0299412552267313,-0.0011639216681942344,0.027525639161467552,-2.1430749893188477,0.008850352838635445,17.873287200927734,0.03369583562016487,0.8661537170410156,0.008938906714320183,-7.617891311645508,-0.02937309257686138,-0.004477550741285086,7.933790766401216e-05,-3.7685394287109375,0.008380752988159657,18.22478485107422,0.019744789227843285
3,-10.010870933532715,-4.906009674072266,0.0604773573577404,-10.009909629821777,-5.101396083831787,0.05743851512670517,-0.19538640975952148,0.1953887641429901,1,0,0.0,0.0,0,0.0,36.0,-0.9987951517105103,-14.617010116577148,-0.016391128301620483,-36.0,-0.1012413278222084,-0.0021365091670304537,0.06890559941530228,8.547191619873047,0.050100985914468765,17.82008934020996,0.036070507019758224,17.30984115600586,0.03331197053194046,-36.0,-0.08825252205133438,-36.0,-1.7721742295861986e-08,-5.599863052368164,0.03177041932940483,18.12328338623047,0.02287157066166401
4,-10.01750373840332,-4.893355369567871,0.07125134766101837,-10.014951705932617,-5.1209917068481445,0.0673360526561737,-0.22763633728027344,0.22765064239501953,1,0,0.0,0.0,0,0.0,36.0,-0.9968899488449097,-20.66037368774414,0.02593398094177246,-36.0,-0.13311858475208282,-0.0024075880646705627,0.08918346464633942,6.180005073547363,0.09001225978136063,17.759233474731445,0.037931814789772034,18.062307357788086,0.07658592611551285,-36.0,-0.059435755014419556,-36.0,-9.580661952668379e-08,-3.9305081367492676,0.0973842442035675,17.948537826538086,0.02524747885763645
5,-10.023579597473145,-4.872966289520264,0.07970814406871796,-10.020657539367676,-5.147796154022217,0.07461542636156082,-0.2748298645019531,0.2748453915119171,1,0,0.0,0.0,0,0.0,36.0,-0.9942212700843811,-24.92922592163086,0.0700058862566948,-36.0,-0.15488433837890625,-0.007860580459237099,0.104685939848423,3.155693531036377,0.12305573374032974,17.517330169677734,0.0401279516518116,20.886966705322266,0.12219665199518204,-36.0,-0.029818668961524963,-36.0,-3.5550641541703953e-07,0.1607065200805664,0.15056999027729034,17.79677391052246,0.02647935412824154
6,-10.028079986572266,-4.846992015838623,0.08654133230447769,-10.02636432647705,-5.1798529624938965,0.07996067404747009,-0.33286094665527344,0.3328653573989868,1,0,0.0,0.0,0,0.0,36.0,-0.9915407299995422,-29.132244110107422,0.10672225058078766,-36.0,-0.17001959681510925,-0.004560522735118866,0.11365048587322235,1.116440773010254,0.14912979304790497,17.364294052124023,0.04267774894833565,24.90743637084961,0.16119202971458435,-36.0,-0.0009122728370130062,-36.0,-7.741721219645115e-07,3.1804404258728027,0.189659982919693,17.721155166625977,0.026796195656061172
7,-10.03099536895752,-4.819117546081543,0.09187744557857513,-10.031866073608398,-5.213623523712158,0.08360832929611206,-0.39450597763061523,0.39450693130493164,1,0,0.0,0.0,0,0.0,36.0,-0.989316999912262,-33.68412399291992,0.1334248036146164,-36.0,-0.18145667016506195,0.013509760610759258,0.1179487407207489,-0.2755908966064453,0.167171910405159,17.241226196289062,0.045505549758672714,29.50440216064453,0.19250895082950592,-36.0,0.028177659958600998,-36.0,-1.119947228289675e-06,5.474663257598877,0.21652080118656158,17.68980598449707,0.02634805627167225
8,-10.036147117614746,-4.79552698135376,0.09390224516391754,-10.037022590637207,-5.24535608291626,0.08523780107498169,-0.4498291015625,0.44982993602752686,1,0,0.0,0.0,0,0.0,36.0,-0.9876154661178589,-36.0,0.1520403027534485,-36.0,-0.18365108966827393,36.0,0.14231722056865692,-22.0,0.15276356041431427,17.48668098449707,0.04877522587776184,32.47379684448242,0.21728305518627167,-36.0,0.05546855926513672,-36.0,-2.202036739618052e-06,7.446351051330566,0.23402832448482513,18.036643981933594,0.025552785024046898
9,-10.046804428100586,-4.785304546356201,0.08804240822792053,-10.036563873291016,-5.268948078155518,0.08272049576044083,-0.4836435317993164,0.48375195264816284,1,0,0.0,0.0,0,0.0,36.0,-0.9860909581184387,-36.0,0.2000112384557724,-36.0,-0.18193575739860535,36.0,0.13608954846858978,-22.0,0.14247220754623413,17.40998077392578,0.05223551765084267,36.0,0.2229943424463272,-36.0,0.06592879444360733,-36.0,0.004269080236554146,12.308220863342285,0.25219759345054626,18.050748825073242,0.02567693591117859
10,-10.056781768798828,-4.789540767669678,0.07371847331523895,-10.041342735290527,-5.274808406829834,0.06997250765562057,-0.48526763916015625,0.4855131506919861,1,0,0.0,0.0,0,0.0,36.0,-0.9836023449897766,-36.0,0.24571922421455383,-36.0,-0.18059904873371124,36.0,0.1421504020690918,-22.0,0.13221412897109985,17.34914779663086,0.054405178874731064,35.99223709106445,0.2437944859266281,-36.0,0.06026365980505943,-36.0,0.018474405631422997,12.592467308044434,0.24083666503429413,18.062314987182617,0.025503583252429962
11,-10.063634872436523,-4.791489124298096,0.06141624599695206,-10.053033828735352,-5.2768378257751465,0.055325932800769806,-0.4853487014770508,0.485464483499527,1,0,204.59170532226562,177.6816864013672,6,204.59170532226562,36.0,-0.9804004430770874,-36.0,0.2925274968147278,-36.0,-0.07769819349050522,36.0,0.1552506983280182,-12.292647361755371,0.017060182988643646,12.347981452941895,-0.02473672665655613,27.619403839111328,0.26585522294044495,-36.0,0.010153439827263355,-36.0,0.07190419733524323,15.57727336883545,0.07640942931175232,2.4171106815338135,0.08777821063995361
12,-10.063066482543945,-4.791481971740723,0.053908415138721466,-10.052190780639648,-5.273060321807861,0.04186086356639862,-0.48157835006713867,0.481701135635376,1,0,146.0972442626953,17.10561752319336,6,146.0972442626953,36.0,-0.9793086051940918,-36.0,0.28942644596099854,-36.0,-0.005320290569216013,36.0,0.19165441393852234,-14.27164363861084,-0.0918068215250969,15.292935371398926,-0.053806401789188385,35.07472610473633,0.2549045979976654,-36.0,-0.07877664268016815,-36.0,0.027752192690968513,17.161623001098633,0.006409084890037775,6.258902072906494,0.13878385722637177
13,-10.058523178100586,-4.796213626861572,0.04503221809864044,-10.051652908325195,-5.274960041046143,0.03712421655654907,-0.4787464141845703,0.47879570722579956,1,0,123.03174591064453,356.8019104003906,12,356.8019104003906,36.0,-0.9771528244018555,-36.0,0.29052427411079407,-36.0,0.07030511647462845,36.0,0.1984020471572876,-14.490604400634766,-0.16948089003562927,16.48011589050293,-0.0908089205622673,32.505802154541016,0.25050047039985657,-36.0,-0.0764521062374115,-36.0,-0.00356152281165123,6.21653938293457,0.013025914318859577,-13.32204532623291,0.203373983502388
