step,lf_wx,lf_wy,lf_wz,rf_wx,rf_wy,rf_wz,foot_sep_y,foot_xy_dist,foot_cross,foot_too_close,cf_lf,cf_rf,cf_max_body,cf_max_val,tau_max,pg_z,t_lhp,dp_lhp,t_lhy,dp_lhy,t_lk,dp_lk,t_lap,dp_lap,t_lar,dp_lar,t_rhp,dp_rhp,t_rhy,dp_rhy,t_rk,dp_rk,t_rap,dp_rap,t_rar,dp_rar
0,-10.005355834960938,-4.90909481048584,0.009806053712964058,-10.004484176635742,-5.090714454650879,0.009478406980633736,-0.18161964416503906,0.1816217303276062,1,0,59.16300582885742,116.27460479736328,12,116.27460479736328,2.172412395477295,-0.9999837875366211,0.4299609363079071,-0.006282965186983347,-0.0046809762716293335,-0.0027724995743483305,0.010980886407196522,-5.88569992032717e-06,-0.8183804750442505,0.020016083493828773,1.6360952854156494,-0.03614036366343498,0.707182765007019,-0.008498439565300941,-0.4177446961402893,0.002566489391028881,-0.06779556721448898,-4.575568709697109e-06,-0.8765203952789307,0.02044030837714672,1.7016820907592773,-0.03875162824988365
1,-10.005427360534668,-4.909460067749023,0.029772935435175896,-10.004520416259766,-5.090764045715332,0.02898147888481617,-0.1813039779663086,0.18130624294281006,1,0,11.559113502502441,62.48133850097656,12,62.48133850097656,2.3303351402282715,-0.9998722076416016,0.09310108423233032,-0.0048999120481312275,0.0456162765622139,-0.002325962530449033,0.004322775639593601,0.001643013907596469,-1.0292537212371826,0.02430807799100876,1.4046056270599365,-0.03334582597017288,0.29863622784614563,-0.007164475042372942,-0.09600204974412918,0.002065779874101281,-0.06267065554857254,0.0011563359294086695,-1.1018449068069458,0.026302877813577652,1.819007158279419,-0.047333404421806335
2,-10.006926536560059,-4.9118242263793945,0.04713328555226326,-10.006038665771484,-5.093313694000244,0.044851161539554596,-0.1814894676208496,0.1814916431903839,1,0,0.0,0.0,0,0.0,17.942214965820312,-0.9995724558830261,-1.1729767322540283,-0.014810493215918541,-8.965533256530762,-0.031017884612083435,-0.0012195288436487317,0.027551371604204178,-2.507136583328247,0.008670312352478504,17.88037872314453,0.0334063358604908,0.824634850025177,0.0026704624760895967,-7.074997901916504,-0.027165330946445465,-0.004880374297499657,7.369943341473117e-05,-4.123003959655762,0.010058335959911346,17.942214965820312,0.03074634075164795
3,-10.010979652404785,-4.906826019287109,0.0610506534576416,-10.009416580200195,-5.102141857147217,0.05724316090345383,-0.19531583786010742,0.19532209634780884,1,0,0.0,0.0,0,0.0,36.0,-0.9987889528274536,-14.266545295715332,-0.018626034259796143,-36.0,-0.10977763682603836,-0.002088461071252823,0.06782232969999313,8.611910820007324,0.049752600491046906,17.826763153076172,0.03579249978065491,17.667680740356445,0.031251274049282074,-36.0,-0.09332305192947388,-36.0,-3.3147166789149196e-08,-5.682159423828125,0.032356273382902145,17.870914459228516,0.03271643444895744
4,-10.017119407653809,-4.894906997680664,0.07173192501068115,-10.014126777648926,-5.122107982635498,0.06684242188930511,-0.22720098495483398,0.22722068428993225,1,0,0.0,0.0,0,0.0,36.0,-0.9967840313911438,-20.278419494628906,0.02429240755736828,-36.0,-0.14205269515514374,-0.0023578559048473835,0.08907049894332886,6.065267562866211,0.08878655731678009,17.7658634185791,0.037651386111974716,18.389320373535156,0.07643898576498032,-36.0,-0.0649203285574913,-36.0,-1.364036990025852e-07,-3.8450372219085693,0.09831897914409637,17.71492576599121,0.03406228870153427
5,-10.026750564575195,-4.875678062438965,0.07771503180265427,-10.018800735473633,-5.1497392654418945,0.07562363147735596,-0.2740612030029297,0.2741764783859253,1,0,0.0,0.0,0,0.0,36.0,-0.9951810240745544,-36.0,0.029323790222406387,-36.0,-0.14400923252105713,36.0,0.18098631501197815,-21.292724609375,0.03778548538684845,19.423826217651367,0.04829193651676178,15.208732604980469,0.10451643168926239,-36.0,-0.021310333162546158,-36.0,-2.0605288852948433e-07,-1.3073089122772217,0.17161469161510468,15.730219841003418,0.024609597399830818
6,-10.034146308898926,-4.862578868865967,0.08301995694637299,-10.01710033416748,-5.184349536895752,0.07935655117034912,-0.32177066802978516,0.3222218453884125,1,0,0.0,0.0,0,0.0,36.0,-0.9927738904953003,-36.0,0.09441189467906952,-36.0,-0.13273200392723083,36.0,0.1521657258272171,-21.75766372680664,0.029007459059357643,18.24480628967285,0.05333900824189186,23.3105411529541,0.10912414640188217,-36.0,0.013396519236266613,-36.0,-9.522683512841468e-07,4.916256427764893,0.18526749312877655,17.34113311767578,0.02209101803600788
7,-10.045220375061035,-4.85451602935791,0.08104313910007477,-10.013452529907227,-5.207574844360352,0.08232719451189041,-0.3530588150024414,0.3544851541519165,1,0,0.0,0.0,0,0.0,36.0,-0.9923967123031616,-36.0,0.10949903726577759,-36.0,-0.11718754470348358,36.0,0.17711515724658966,-16.18661880493164,0.03250037506222725,14.8648042678833,0.04278111457824707,29.67662811279297,0.09402526915073395,-36.0,0.08293038606643677,-36.0,-3.689695660114012e-08,-5.389773368835449,0.23009531199932098,19.9254207611084,0.030225789174437523
8,-10.057729721069336,-4.858094215393066,0.07377404719591141,-10.010787010192871,-5.228107452392578,0.08193773031234741,-0.3700132369995117,0.3729791045188904,1,0,0.0,0.0,0,0.0,36.0,-0.9890028834342957,-36.0,0.16970741748809814,-36.0,-0.1094721183180809,36.0,0.1549963653087616,-22.0,0.020358707755804062,15.818622589111328,0.03777160495519638,36.0,0.13833177089691162,-36.0,0.10592276602983475,-36.0,-1.3144762078809435e-06,8.304102897644043,0.28906887769699097,16.18853187561035,0.02265118435025215
9,-10.06705093383789,-4.868413925170898,0.060058511793613434,-10.017755508422852,-5.2379608154296875,0.07558305561542511,-0.36954689025878906,0.37282025814056396,1,0,0.0,0.0,0,0.0,36.0,-0.9873082041740417,-36.0,0.1735997051000595,-36.0,-0.10833963751792908,36.0,0.17228800058364868,-18.149072647094727,0.019659943878650665,17.30649185180664,0.03846221789717674,36.0,0.17340423166751862,-36.0,0.10336202383041382,-36.0,0.04209281876683235,14.035517692565918,0.28663620352745056,19.93644142150879,0.03143288940191269
